"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Fairfax County Public Schools","Island Creek Elementary",31,69,0
"Fairfax County Public Schools","Jackson Middle",23,77,0
"Fairfax County Public Schools","Johnson Middle",21,77,1
"Fairfax County Public Schools","Justice High",23,74,2
"Fairfax County Public Schools","Keene Mill Elementary",23,75,0
"Fairfax County Public Schools","Kent Gardens Elementary",33,64,1
"Fairfax County Public Schools","Key Center",15,77,4
"Fairfax County Public Schools","Key Middle",24,72,2
"Fairfax County Public Schools","Kilmer Center",17,78,4
"Fairfax County Public Schools","Kilmer Middle",25,75,0
"Fairfax County Public Schools","Kings Glen Elementary",30,63,7
"Fairfax County Public Schools","Kings Park Elementary",34,64,0
"Fairfax County Public Schools","Lake Anne Elementary",32,68,0
"Fairfax County Public Schools","Lake Braddock Secondary",25,73,1
"Fairfax County Public Schools","Lane Elementary",32,67,0
"Fairfax County Public Schools","Langley High",18,77,4
"Fairfax County Public Schools","Laurel Hill Elementary",26,71,3
"Fairfax County Public Schools","Laurel Ridge Elementary",26,74,0
"Fairfax County Public Schools","Lees Corner Elementary",30,70,0
"Fairfax County Public Schools","Lemon Road Elementary",44,54,0
"Fairfax County Public Schools","Lewis High",21,77,1
"Fairfax County Public Schools","Liberty Middle",20,77,2
"Fairfax County Public Schools","Little Run Elementary",31,69,0
"Fairfax County Public Schools","London Towne Elementary",24,73,0
"Fairfax County Public Schools","Longfellow Middle",33,63,2
"Fairfax County Public Schools","Lorton Station Elementary",29,71,0
"Fairfax County Public Schools","Lynbrook Elementary",18,82,0
"Fairfax County Public Schools","Madison High",21,77,2
"Fairfax County Public Schools","Mantua Elementary",25,73,0
"Fairfax County Public Schools","Marshall High",23,72,3
"Fairfax County Public Schools","Marshall Road Elementary",28,69,0
"Fairfax County Public Schools","Mason Crest Elementary",25,74,2
"Fairfax County Public Schools","McLean High",18,79,3
"Fairfax County Public Schools","McNair Elementary",33,66,1
"Fairfax County Public Schools","Mosaic Elementary",27,72,0
"Fairfax County Public Schools","Mount Eagle Elementary",33,67,0
"Fairfax County Public Schools","Mount Vernon High",24,72,3
"Fairfax County Public Schools","Mount Vernon Woods Elementary",30,64,4
"Fairfax County Public Schools","Mountain View High",10,82,3
"Fairfax County Public Schools","Navy Elementary",30,68,0
"Fairfax County Public Schools","Newington Forest Elementary",26,74,0
"Fairfax County Public Schools","North Springfield Elementary",29,71,0
"Fairfax County Public Schools","Oak Hill Elementary",14,85,2
"Fairfax County Public Schools","Oak View Elementary",36,64,0
"Fairfax County Public Schools","Oakton Elementary",31,69,0
"Fairfax County Public Schools","Oakton High",27,68,4
"Fairfax County Public Schools","Olde Creek Elementary",25,73,0
"Fairfax County Public Schools","Orange Hunt Elementary",32,68,0
"Fairfax County Public Schools","Parklawn Elementary",31,65,4
"Fairfax County Public Schools","Pine Spring Elementary",33,66,0
"Fairfax County Public Schools","Poe Middle",27,72,1
"Fairfax County Public Schools","Poplar Tree Elementary",35,63,0
"Fairfax County Public Schools","Powell Elementary",20,80,0
"Fairfax County Public Schools","Providence Elementary",23,77,0
"Fairfax County Public Schools","Ravensworth Elementary",34,62,2
"Fairfax County Public Schools","Riverside Elementary",31,69,0
"Fairfax County Public Schools","Robinson Secondary",22,75,2
"Fairfax County Public Schools","Rocky Run Middle",29,67,3
"Fairfax County Public Schools","Rolling Valley Elementary",27,71,2
"Fairfax County Public Schools","Rose Hill Elementary",33,63,1
"Fairfax County Public Schools","Sandburg Middle",35,63,2
"Fairfax County Public Schools","Sangster Elementary",16,83,1
"Fairfax County Public Schools","Saratoga Elementary",33,63,3
"Fairfax County Public Schools","Sherman Elementary",34,63,0
"Fairfax County Public Schools","Shrevewood Elementary",30,68,2
"Fairfax County Public Schools","Silverbrook Elementary",36,63,1
"Fairfax County Public Schools","Sleepy Hollow Elementary",29,71,0
"Fairfax County Public Schools","South County High",22,74,3
"Fairfax County Public Schools","South County Middle",22,76,2
"Fairfax County Public Schools","South Lakes High",23,72,3
"Fairfax County Public Schools","Spring Hill Elementary",23,75,3
"Fairfax County Public Schools","Springfield Estates Elementary",27,70,3
"Fairfax County Public Schools","Stenwood Elementary",22,76,2
"Fairfax County Public Schools","Stone Middle",28,69,3
"Fairfax County Public Schools","Stratford Landing Elementary",18,78,1
"Fairfax County Public Schools","Sunrise Valley Elementary",23,77,0
"Fairfax County Public Schools","Terra Centre Elementary",22,76,0
"Fairfax County Public Schools","Terraset Elementary",32,68,0
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",15,65,19
"Fairfax County Public Schools","Thoreau Middle",33,66,1
"Fairfax County Public Schools","Timber Lane Elementary",22,75,3
"Fairfax County Public Schools","Twain Middle",24,71,1
"Fairfax County Public Schools","Union Mill Elementary",34,64,0
"Fairfax County Public Schools","Vienna Elementary",33,67,0
"Fairfax County Public Schools","Virginia Run Elementary",22,76,2
"Fairfax County Public Schools","Wakefield Forest Elementary",25,73,0
"Fairfax County Public Schools","Waples Mill Elementary",15,82,0
"Fairfax County Public Schools","Washington Mill Elementary",41,58,0
"Fairfax County Public Schools","Waynewood Elementary",16,84,0
"Fairfax County Public Schools","West Potomac High",22,74,2
"Fairfax County Public Schools","West Springfield Elementary",34,62,2
"Fairfax County Public Schools","West Springfield High",26,69,3
"Fairfax County Public Schools","Westbriar Elementary",31,68,2
"Fairfax County Public Schools","Westfield High",23,76,0
"Fairfax County Public Schools","Westgate Elementary",27,73,0
"Fairfax County Public Schools","Westlawn Elementary",23,76,0
"Fairfax County Public Schools","Weyanoke Elementary",25,71,4
"Fairfax County Public Schools","White Oaks Elementary",23,77,0
"Fairfax County Public Schools","Whitman Middle",34,63,0
"Fairfax County Public Schools","Willow Springs Elementary",23,77,0
"Fairfax County Public Schools","Wolftrap Elementary",34,64,2
"Fairfax County Public Schools","Woodburn Elementary",19,79,2
"Fairfax County Public Schools","Woodlawn Elementary",37,58,2
"Fairfax County Public Schools","Woodley Hills Elementary",34,61,1
"Fairfax County Public Schools","Woodson High",22,76,2
"Falls Church City Public Schools","Mary Ellen Henderson Middle",19,78,0
"Falls Church City Public Schools","Meridian High",16,79,4
"Falls Church City Public Schools","Mount Daniel Elementary",46,50,4
"Falls Church City Public Schools","Oak Street Elementary",18,79,0
"Fauquier County Public Schools","Auburn Middle",42,58,0
"Fauquier County Public Schools","C. Hunter Ritchie Elementary",43,57,0
"Fauquier County Public Schools","C.M. Bradley Elementary",53,47,0
"Fauquier County Public Schools","Cedar Lee Middle",50,48,2
"Fauquier County Public Schools","Claude Thompson Elementary",35,65,0
"Fauquier County Public Schools","Fauquier High",41,52,2
"Fauquier County Public Schools","Grace Miller Elementary",43,54,0
"Fauquier County Public Schools","Greenville Elementary",47,50,0
"Fauquier County Public Schools","H.M. Pearson Elementary",45,55,0
"Fauquier County Public Schools","James G. Brumfield Elementary",51,49,0
"Fauquier County Public Schools","Kettle Run High",39,59,1
"Fauquier County Public Schools","Liberty High",34,63,1
"Fauquier County Public Schools","Margaret M. Pierce Elementary",35,65,0
"Fauquier County Public Schools","Marshall Middle",33,65,2
"Fauquier County Public Schools","Mary Walter Elementary",57,43,0
"Fauquier County Public Schools","P.B. Smith Elementary",32,68,0
"Fauquier County Public Schools","W.C. Taylor Middle",46,50,0
"Fauquier County Public Schools","W.G. Coleman Elementary",46,54,0
"Fauquier County Public Schools","Warrenton Middle",41,59,0
"Floyd County Public Schools","Check Elementary",36,61,0
"Floyd County Public Schools","Floyd County High",46,45,0
"Floyd County Public Schools","Floyd Elementary",45,45,2
"Floyd County Public Schools","Indian Valley Elementary",53,47,0
"Floyd County Public Schools","Willis Elementary",71,24,0
"Fluvanna County Public Schools","Carysbrook Elementary",56,44,0
"Fluvanna County Public Schools","Central Elementary",38,60,0
"Fluvanna County Public Schools","Fluvanna County High",41,51,2
"Fluvanna County Public Schools","Fluvanna Middle",51,48,1
"Fluvanna County Public Schools","West Central Primary",53,47,0
"Franklin City Public Schools","Franklin High",48,45,3
"Franklin City Public Schools","Joseph P. King Jr. Middle",50,46,0
"Franklin City Public Schools","S.P. Morton Elementary",60,35,0
"Franklin County Public Schools","Benjamin Franklin Middle",40,56,2
"Franklin County Public Schools","Boones Mill Elementary",56,41,0
"Franklin County Public Schools","Burnt Chimney Elementary",41,59,0
"Franklin County Public Schools","Callaway Elementary",36,64,0
"Franklin County Public Schools","Dudley Elementary",48,44,0
"Franklin County Public Schools","Ferrum Elementary",47,47,0
"Franklin County Public Schools","Franklin County High",41,52,1
"Franklin County Public Schools","Glade Hill Elementary",50,46,0
"Franklin County Public Schools","Henry Elementary",58,42,0
"Franklin County Public Schools","Lee M. Waid Elementary",43,50,3
"Franklin County Public Schools","Rocky Mount Elementary",43,55,3
"Franklin County Public Schools","Snow Creek Elementary",25,75,0
"Franklin County Public Schools","Sontag Elementary",38,62,0
"Franklin County Public Schools","Windy Gap Elementary",55,41,0
"Frederick County Public Schools","Admiral Richard E. Byrd Middle",40,55,2
"Frederick County Public Schools","Apple Pie Ridge Elementary",41,55,2
"Frederick County Public Schools","Armel Elementary",45,53,2
"Frederick County Public Schools","Bass-Hoover Elementary",47,49,2
"Frederick County Public Schools","Evendale Elementary",42,53,2
"Frederick County Public Schools","Frederick County Middle",40,54,3
"Frederick County Public Schools","Gainesboro Elementary",46,50,2
"Frederick County Public Schools","Greenwood Mill Elementary",37,56,2
"Frederick County Public Schools","Indian Hollow Elementary",52,38,2
"Frederick County Public Schools","James Wood High",38,56,1
"Frederick County Public Schools","James Wood Middle",52,44,1
"Frederick County Public Schools","Middletown Elementary",43,51,4
"Frederick County Public Schools","Millbrook High",39,52,3
"Frederick County Public Schools","Orchard View Elementary",56,40,2
"Frederick County Public Schools","Redbud Run Elementary",43,53,1
"Frederick County Public Schools","Robert E. Aylor Middle",44,52,2
"Frederick County Public Schools","Sherando High",30,61,4
"Frederick County Public Schools","Stonewall Elementary",50,47,2
"Fredericksburg City Public Schools","Hugh Mercer Elementary",32,65,1
"Fredericksburg City Public Schools","James Monroe High",35,62,2
"Fredericksburg City Public Schools","Lafayette Elementary",45,54,1
"Fredericksburg City Public Schools","Walker-Grant Middle",47,51,0
"Galax City Public Schools","Galax Elementary",41,55,2
"Galax City Public Schools","Galax High",34,60,0
"Galax City Public Schools","Galax Middle",50,46,0
"Giles County Public Schools","Eastern Elementary/Middle ",71,29,0
"Giles County Public Schools","Giles High",58,42,0
"Giles County Public Schools","Macy Mcclaugherty Elementary/Middle",62,38,0
"Giles County Public Schools","Narrows Elementary/Middle ",68,33,0
"Giles County Public Schools","Narrows High",55,42,0
"Gloucester County Public Schools","Abingdon Elementary",44,52,0
"Gloucester County Public Schools","Achilles Elementary",32,66,0
"Gloucester County Public Schools","Bethel Elementary",29,69,0
"Gloucester County Public Schools","Botetourt Elementary",39,57,0
"Gloucester County Public Schools","Gloucester High",41,52,1
"Gloucester County Public Schools","Page Middle",44,48,4
"Gloucester County Public Schools","Peasley Middle",46,52,0
"Gloucester County Public Schools","Petsworth Elementary",38,59,0
"Goochland County Public Schools","Byrd Elementary",43,55,0
"Goochland County Public Schools","Goochland Elementary",39,61,0
"Goochland County Public Schools","Goochland High",46,50,0
"Goochland County Public Schools","Goochland Middle",44,53,2
"Goochland County Public Schools","Randolph Elementary",47,51,0
"Grayson County Public Schools","Fairview Elementary",56,44,0
"Grayson County Public Schools","Fries Elementary",70,26,0
"Grayson County Public Schools","Grayson County High",55,39,0
"Grayson County Public Schools","Grayson Highlands",53,41,0
"Grayson County Public Schools","Independence Elementary",52,48,0
"Grayson County Public Schools","Independence Middle",44,56,0
"Greene County Public Schools","Nathanael Greene Elementary",34,63,0
"Greene County Public Schools","Nathanael Greene Primary",38,62,0
"Greene County Public Schools","Ruckersville Elementary",49,51,0
"Greene County Public Schools","William Monroe High",37,51,1
"Greene County Public Schools","William Monroe Middle",43,52,2
"Greensville County Public Schools","Belfield Elementary",72,22,6
"Greensville County Public Schools","Edward W. Wyatt Middle",54,44,0
"Greensville County Public Schools","Greensville County High",40,38,5
"Greensville County Public Schools","Greensville Elementary",64,36,0
"Halifax County Public Schools","Clays Mill Elementary",42,45,3
"Halifax County Public Schools","Cluster Springs Elementary",41,53,0
"Halifax County Public Schools","Halifax County High",42,51,1
"Halifax County Public Schools","Halifax County Middle",53,44,0
"Halifax County Public Schools","Meadville Elementary",32,53,3
"Halifax County Public Schools","Scottsburg Elementary",49,41,3
"Halifax County Public Schools","Sinai Elementary",44,46,0
"Halifax County Public Schools","South Boston Elementary",56,37,0
"Halifax County Public Schools","Sydnor Jennings Elementary",38,51,0
"Hampton City Public Schools","A.W.E. Bassette Elementary",45,47,5
"Hampton City Public Schools","Aberdeen Elementary",44,44,5
"Hampton City Public Schools","Albert W. Patrick III Elementary",41,59,0
"Hampton City Public Schools","Alfred S. Forrest Elementary",39,58,0
"Hampton City Public Schools","Armstrong Elementary",54,42,0
"Hampton City Public Schools","Barron Elementary",41,56,3
"Hampton City Public Schools","Benjamin Syms Middle",44,52,1
"Hampton City Public Schools","Bethel High",39,52,3
"Hampton City Public Schools","C. Alton Lindsay Middle",58,35,2
"Hampton City Public Schools","Captain John Smith Elementary",42,47,3
"Hampton City Public Schools","Cesar Tarrant Middle",45,47,2
"Hampton City Public Schools","Christopher C. Kraft Elementary ",42,47,6
"Hampton City Public Schools","Francis Asbury Elementary",44,50,3
"Hampton City Public Schools","Francis W. Jones Magnet Middle",39,56,0
"Hampton City Public Schools","George P. Phenix Elementary",39,54,1
"Hampton City Public Schools","Hampton High",36,56,2
"Hampton City Public Schools","Hunter B. Andrews",48,48,2
"Hampton City Public Schools","Jane H. Bryan Elementary",47,42,0
"Hampton City Public Schools","Kecoughtan High",46,47,3
"Hampton City Public Schools","Luther W. Machen Elementary ",53,42,6
"Hampton City Public Schools","Mary S. Peake Elementary",49,46,0
"Hampton City Public Schools","Mary T. Christian Elementary",52,39,0
"Hampton City Public Schools","Mary W. Jackson Elementary",28,68,4
"Hampton City Public Schools","Paul Burbank Elementary",28,66,0
"Hampton City Public Schools","Phillips Elementary",37,60,0
"Hampton City Public Schools","Phoebus High",45,46,1
"Hampton City Public Schools","Samuel P. Langley Elementary",44,51,0
"Hampton City Public Schools","Thomas Eaton Middle",40,57,4
"Hampton City Public Schools","William Mason Cooper Elementary",42,52,0
"Hanover County Public Schools","Atlee High",28,70,2
"Hanover County Public Schools","Battlefield Park Elementary",39,58,0
"Hanover County Public Schools","Beaverdam Elementary",14,83,0
"Hanover County Public Schools","Bell Creek Middle",35,64,0
"Hanover County Public Schools","Chickahominy Middle",34,64,1
"Hanover County Public Schools","Cold Harbor Elementary",30,70,0
"Hanover County Public Schools","Cool Spring Elementary",34,59,2
"Hanover County Public Schools","Elmont Elementary",24,71,0
"Hanover County Public Schools","Hanover High",38,55,2
"Hanover County Public Schools","Henry Clay Elementary",34,63,0
"Hanover County Public Schools","John M. Gandy Elementary",24,68,3
"Hanover County Public Schools","Kersey Creek Elementary",35,60,0
"Hanover County Public Schools","Laurel Meadow Elementary",33,65,2
"Hanover County Public Schools","Liberty Middle",42,56,1
"Hanover County Public Schools","Mechanicsville Elementary",40,56,0
"Hanover County Public Schools","Mechanicsville High",31,68,1
"Hanover County Public Schools","Oak Knoll Middle",36,64,0
"Hanover County Public Schools","Patrick Henry High",34,63,3
"Hanover County Public Schools","Pearson's Corner Elementary",37,57,0
"Hanover County Public Schools","Pole Green Elementary",41,55,0
"Hanover County Public Schools","Rural Point Elementary",37,59,2
"Hanover County Public Schools","South Anna Elementary",46,52,0
"Hanover County Public Schools","Washington-Henry Elementary ",33,63,0
"Harrisonburg City Public Schools","Bluestone Elementary",29,71,0
"Harrisonburg City Public Schools","Harrisonburg High",38,60,0
"Harrisonburg City Public Schools","Keister Elementary",44,53,0
"Harrisonburg City Public Schools","Skyline Middle",36,63,1
"Harrisonburg City Public Schools","Smithland Elementary",42,58,0
"Harrisonburg City Public Schools","Spotswood Elementary",43,55,0
"Harrisonburg City Public Schools","Stone Spring Elementary",50,48,0
"Harrisonburg City Public Schools","Thomas Harrison Middle",49,45,1
"Harrisonburg City Public Schools","Waterman Elementary",45,51,0
"Henrico County Public Schools","Anthony P. Mehfoud Elementary",33,67,0
"Henrico County Public Schools","Arthur Ashe Jr. Elementary ",40,58,3
"Henrico County Public Schools","Brookland Middle",41,54,4
"Henrico County Public Schools","Cashell Donahoe Elementary",30,65,0
"Henrico County Public Schools","Chamberlayne Elementary",44,56,0
"Henrico County Public Schools","Charles M. Johnson Elementary",40,60,0
"Henrico County Public Schools","Colonial Trail Elementary",40,60,0
"Henrico County Public Schools","Crestview Elementary",53,47,0
"Henrico County Public Schools","David A. Kaechele Elementary ",43,53,0
"Henrico County Public Schools","Deep Run High",41,57,1
"Henrico County Public Schools","Douglas S. Freeman High",31,68,1
"Henrico County Public Schools","Dumbarton Elementary",50,48,0
"Henrico County Public Schools","Echo Lake Elementary",38,62,0
"Henrico County Public Schools","Elizabeth Holladay Elementary",32,68,0
"Henrico County Public Schools","Elko Middle",53,44,1
"Henrico County Public Schools","Fair Oaks Elementary",39,61,0
"Henrico County Public Schools","Fairfield Middle",41,55,1
"Henrico County Public Schools","Gayton Elementary",35,62,0
"Henrico County Public Schools","George F. Baker Elementary",38,56,6
"Henrico County Public Schools","George H. Moody Middle",29,69,1
"Henrico County Public Schools","Glen Allen Elementary",40,60,0
"Henrico County Public Schools","Glen Allen High",34,63,0
"Henrico County Public Schools","Glen Lea Elementary",41,59,0
"Henrico County Public Schools","Greenwood Elementary ",34,66,0
"Henrico County Public Schools","Harold Macon Ratcliffe Elementary",49,49,0
"Henrico County Public Schools","Harvie Elementary",39,61,0
"Henrico County Public Schools","Henrico High",29,66,2
"Henrico County Public Schools","Henry D. Ward Elementary",31,67,2
"Henrico County Public Schools","Hermitage High",48,51,0
"Henrico County Public Schools","Highland Springs Elementary",34,66,0
"Henrico County Public Schools","Highland Springs High",41,56,1
"Henrico County Public Schools","Holman Middle ",33,66,2
"Henrico County Public Schools","Hungary Creek Middle ",32,66,0
"Henrico County Public Schools","Jackson Davis Elementary",41,59,0
"Henrico County Public Schools","Jacob L. Adams Elementary",39,58,0
"Henrico County Public Schools","John Randolph Tucker High",33,64,2
"Henrico County Public Schools","John Rolfe Middle",33,58,0
"Henrico County Public Schools","L. Douglas Wilder Middle",36,60,3
"Henrico County Public Schools","Laburnum Elementary",32,63,0
"Henrico County Public Schools","Lakeside Elementary",36,64,0
"Henrico County Public Schools","Longdale Elementary",35,63,0
"Henrico County Public Schools","Maude Trevvett Elementary",49,51,0
"Henrico County Public Schools","Maybeury Elementary",31,64,2
"Henrico County Public Schools","Mills E. Godwin High",32,66,1
"Henrico County Public Schools","Montrose Elementary",31,67,3
"Henrico County Public Schools","Nuckols Farm Elementary",31,69,0
"Henrico County Public Schools","Pemberton Elementary",31,65,4
"Henrico County Public Schools","Pinchbeck Elementary",42,58,0
"Henrico County Public Schools","Pocahontas Middle",52,48,0
"Henrico County Public Schools","Quioccasin Middle",33,66,0
"Henrico County Public Schools","R.C. Longan Elementary",43,57,0
"Henrico County Public Schools","Ridge Elementary",31,69,0
"Henrico County Public Schools","Rivers Edge Elementary",39,55,0
"Henrico County Public Schools","Ruby F. Carver Elementary",46,51,3
"Henrico County Public Schools","Sandston Elementary",22,74,4
"Henrico County Public Schools","Seven Pines Elementary",36,64,0
"Henrico County Public Schools","Shady Grove Elementary",31,67,2
"Henrico County Public Schools","Short Pump Elementary",35,62,3
"Henrico County Public Schools","Short Pump Middle",41,58,0
"Henrico County Public Schools","Skipwith Elementary",38,63,0
"Henrico County Public Schools","Springfield Park Elementary",40,60,0
"Henrico County Public Schools","Three Chopt Elementary",38,62,0
"Henrico County Public Schools","Tuckahoe Elementary",31,69,0
"Henrico County Public Schools","Tuckahoe Middle",36,64,0
"Henrico County Public Schools","Twin Hickory Elementary",46,54,0
"Henrico County Public Schools","Varina Elementary",39,61,0
"Henrico County Public Schools","Varina High",42,55,1
"Henry County Public Schools","Axton Elementary",72,28,0
"Henry County Public Schools","Bassett High",47,48,0
"Henry County Public Schools","Campbell Court Elementary",67,33,0
"Henry County Public Schools","Drewry Mason Elementary",47,47,3
"Henry County Public Schools","Fieldale-Collinsville Middle ",59,41,0
"Henry County Public Schools","G.W. Carver Elementary ",42,53,3
"Henry County Public Schools","Laurel Park Middle ",51,45,2
"Henry County Public Schools","Magna Vista High",51,45,0
"Henry County Public Schools","Meadow View Elementary",60,40,0
"Henry County Public Schools","Mount Olivet Elementary ",60,36,0
"Henry County Public Schools","Rich Acres Elementary",43,52,4
"Henry County Public Schools","Sanville Elementary",50,50,0
"Henry County Public Schools","Stanleytown Elementary",36,59,0
"Highland County Public Schools","Highland Elementary",58,42,0
"Highland County Public Schools","Highland High",78,22,0
"Hopewell City Public Schools","Carter G. Woodson Middle",48,47,2
"Hopewell City Public Schools","Dupont Elementary",54,44,2
"Hopewell City Public Schools","Harry E. James Elementary",70,28,2
"Hopewell City Public Schools","Hopewell High",49,45,1
"Hopewell City Public Schools","Patrick Copeland Elementary",60,30,4
"Isle of Wight County Public Schools","Carrollton Elementary",41,55,0
"Isle of Wight County Public Schools","Carrsville Elementary",54,31,0
"Isle of Wight County Public Schools","Georgie D. Tyler Middle",38,59,0
"Isle of Wight County Public Schools","Hardy Elementary",32,66,0
"Isle of Wight County Public Schools","Smithfield High",40,51,3
"Isle of Wight County Public Schools","Smithfield Middle",43,47,0
"Isle of Wight County Public Schools","Westside Elementary",42,55,2
"Isle of Wight County Public Schools","Windsor Elementary",49,45,0
"Isle of Wight County Public Schools","Windsor High",46,43,0
"King George County Public Schools","King George Elementary",33,65,1
"King George County Public Schools","King George High",40,53,1
"King George County Public Schools","King George Middle",56,42,0
"King George County Public Schools","Potomac Elementary",60,38,0
"King George County Public Schools","Sealston Elementary ",51,49,0
"King William County Public Schools","Acquinton Elementary",56,44,0
"King William County Public Schools","Cool Spring Primary",49,49,0
"King William County Public Schools","Hamilton Holmes Middle",54,43,0
"King William County Public Schools","King William High",42,55,0
"King and Queen County Public Schools","Central High",45,48,3
"King and Queen County Public Schools","King & Queen Elementary",62,38,0
"King and Queen County Public Schools","Lawson-Marriott Elementary",57,43,0
"Lancaster County Public Schools","Lancaster High",45,55,0
"Lancaster County Public Schools","Lancaster Middle",60,35,3
"Lancaster County Public Schools","Lancaster Primary",35,59,0
"Lee County Public Schools","Dryden Elementary",39,54,0
"Lee County Public Schools","Elk Knob Elementary",64,36,0
"Lee County Public Schools","Elydale Middle",56,31,0
"Lee County Public Schools","Flatwoods Elementary",50,44,0
"Lee County Public Schools","Jonesville Middle",55,38,3
"Lee County Public Schools","Lee High",52,34,0
"Lee County Public Schools","Pennington Middle",62,32,0
"Lee County Public Schools","Rose Hill Elementary",43,48,0
"Lee County Public Schools","St. Charles Elementary",47,53,0
"Lee County Public Schools","Thomas Walker High",62,32,0
"Lexington City Public Schools","Harrington Waddell Elementary",36,57,0
"Lexington City Public Schools","Lylburn Downing Middle",44,50,0
"Loudoun County Public Schools","Aldie Elementary",17,73,3
"Loudoun County Public Schools","Algonkian Elementary",23,74,2
"Loudoun County Public Schools","Arcola Elementary",19,78,2
"Loudoun County Public Schools","Ashburn Elementary",25,71,3
"Loudoun County Public Schools","Ball's Bluff Elementary",15,80,3
"Loudoun County Public Schools","Banneker Elementary",13,80,3
"Loudoun County Public Schools","Belmont Ridge Middle",33,63,3
"Loudoun County Public Schools","Belmont Station Elementary ",22,75,1
"Loudoun County Public Schools","Blue Ridge Middle",32,63,4
"Loudoun County Public Schools","Brambleton Middle",32,63,1
"Loudoun County Public Schools","Briar Woods High ",28,66,5
"Loudoun County Public Schools","Broad Run High",27,66,5
"Loudoun County Public Schools","Buffalo Trail Elementary",30,68,1
"Loudoun County Public Schools","Cardinal Ridge Elementary ",36,61,1
"Loudoun County Public Schools","Catoctin Elementary",17,80,1
"Loudoun County Public Schools","Cedar Lane Elementary",25,71,1
"Loudoun County Public Schools","Cool Spring Elementary",21,76,1
"Loudoun County Public Schools","Countryside Elementary",30,68,1
"Loudoun County Public Schools","Creighton's Corner Elementary",18,78,2
"Loudoun County Public Schools","Discovery Elementary",24,72,1
"Loudoun County Public Schools","Dominion High",21,68,7
"Loudoun County Public Schools","Dominion Trail Elementary",35,63,1
"Loudoun County Public Schools","Eagle Ridge Middle",29,69,1
"Loudoun County Public Schools","Emerick Elementary",15,81,2
"Loudoun County Public Schools","Evergreen Mill Elementary",26,69,1
"Loudoun County Public Schools","Farmwell Station Middle",29,70,1
"Loudoun County Public Schools","Forest Grove Elementary",27,69,3
"Loudoun County Public Schools","Frances Hazel Reid Elementary",31,64,3
"Loudoun County Public Schools","Frederick Douglass Elementary",23,73,1
"Loudoun County Public Schools","Freedom High ",29,63,7
"Loudoun County Public Schools","Goshen Post Elementary",46,54,0
"Loudoun County Public Schools","Guilford Elementary",23,73,3
"Loudoun County Public Schools","Hamilton Elementary",24,68,5
"Loudoun County Public Schools","Harmony Middle",28,70,1
"Loudoun County Public Schools","Harper Park Middle",24,75,1
"Loudoun County Public Schools","Heritage High",24,70,5
"Loudoun County Public Schools","Hillsboro Charter Academy",27,65,4
"Loudoun County Public Schools","Hillside Elementary",24,74,1
"Loudoun County Public Schools","Horizon Elementary",22,75,1
"Loudoun County Public Schools","Hutchison Farm Elementary",26,70,2
"Loudoun County Public Schools","J. Lupton Simpson Middle",31,65,2
"Loudoun County Public Schools","J. Michael Lunsford Middle",27,70,2
"Loudoun County Public Schools","John Champe High",20,74,5
"Loudoun County Public Schools","John W. Tolbert Jr. Elementary ",24,72,3
"Loudoun County Public Schools","Kenneth W.Culbert Elementary",15,80,3
"Loudoun County Public Schools","Leesburg Elementary",26,71,2
"Loudoun County Public Schools","Legacy Elementary ",27,70,2
"Loudoun County Public Schools","Liberty Elementary",28,69,1
"Loudoun County Public Schools","Lincoln Elementary",4,85,7
"Loudoun County Public Schools","Little River Elementary",28,72,0
"Loudoun County Public Schools","Loudoun County High",23,70,5
"Loudoun County Public Schools","Loudoun Valley High",17,75,6
"Loudoun County Public Schools","Lovettsville Elementary",25,72,2
"Loudoun County Public Schools","Lowes Island Elementary",21,75,3
"Loudoun County Public Schools","Lucketts Elementary",19,74,5
"Loudoun County Public Schools","Madison's Trust Elementary",23,75,1
"Loudoun County Public Schools","Meadowland Elementary",22,74,2
"Loudoun County Public Schools","Mercer Middle ",31,67,1
"Loudoun County Public Schools","Middleburg Community Charter",13,75,8
"Loudoun County Public Schools","Mill Run Elementary",30,67,1
"Loudoun County Public Schools","Moorefield Station Elementary",30,67,2
"Loudoun County Public Schools","Mountain View Elementary",24,73,1
"Loudoun County Public Schools","Newton-Lee Elementary ",31,66,1
"Loudoun County Public Schools","Park View High",23,71,4
"Loudoun County Public Schools","Pinebrook Elementary",31,65,3
"Loudoun County Public Schools","Potomac Falls High",25,68,6
"Loudoun County Public Schools","Potowmack Elementary",23,71,5
"Loudoun County Public Schools","River Bend Middle",21,77,1
"Loudoun County Public Schools","Riverside High",19,74,6
"Loudoun County Public Schools","Rock Ridge High",21,72,5
"Loudoun County Public Schools","Rolling Ridge Elementary",30,68,1
"Loudoun County Public Schools","Rosa Lee Carter Elementary",27,69,2
"Loudoun County Public Schools","Round Hill Elementary",24,73,2
"Loudoun County Public Schools","Sanders Corner Elementary",21,76,2
"Loudoun County Public Schools","Seldens Landing Elementary",28,69,1
"Loudoun County Public Schools","Seneca Ridge Middle",26,72,2
"Loudoun County Public Schools","Smart's Mill Middle ",31,63,4
"Loudoun County Public Schools","Sterling Elementary",31,66,2
"Loudoun County Public Schools","Sterling Middle",28,69,2
"Loudoun County Public Schools","Steuart W. Weller Elementary",22,72,4
