"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Arlington County Public Schools","Nottingham Elementary",16,82,2
"Arlington County Public Schools","Oakridge Elementary",27,68,1
"Arlington County Public Schools","Randolph Elementary",27,68,3
"Arlington County Public Schools","Swanson Middle",26,71,1
"Arlington County Public Schools","Taylor Elementary",25,72,3
"Arlington County Public Schools","Tuckahoe Elementary",22,76,2
"Arlington County Public Schools","Wakefield High",20,74,5
"Arlington County Public Schools","Washington-Liberty High",22,75,3
"Arlington County Public Schools","Williamsburg Middle",24,75,0
"Arlington County Public Schools","Yorktown High",19,80,2
"Augusta County Public Schools","Beverley Manor Middle",47,50,1
"Augusta County Public Schools","Buffalo Gap High",50,46,2
"Augusta County Public Schools","Cassell Elementary",61,37,2
"Augusta County Public Schools","Churchville Elementary",71,25,0
"Augusta County Public Schools","Craigsville Elementary",50,45,0
"Augusta County Public Schools","Edward G. Clymore Elementary",47,51,0
"Augusta County Public Schools","Fort Defiance High",41,58,0
"Augusta County Public Schools","Guy K. Stump Elementary",50,50,0
"Augusta County Public Schools","North River Elementary",60,40,0
"Augusta County Public Schools","Riverheads Elementary",60,38,0
"Augusta County Public Schools","Riverheads High",55,45,0
"Augusta County Public Schools","S. Gordon Stewart Middle",47,51,2
"Augusta County Public Schools","Stuarts Draft Elementary",49,49,0
"Augusta County Public Schools","Stuarts Draft High",33,63,1
"Augusta County Public Schools","Stuarts Draft Middle",41,55,4
"Augusta County Public Schools","Wilson Elementary",48,50,0
"Augusta County Public Schools","Wilson Memorial High",49,49,1
"Augusta County Public Schools","Wilson Middle",41,58,0
"Bath County Public Schools","Bath County High",36,50,4
"Bath County Public Schools","Millboro Elementary",55,45,0
"Bath County Public Schools","Valley Elementary",44,56,0
"Bedford County Public Schools","Bedford Elementary",53,40,0
"Bedford County Public Schools","Bedford Primary",35,58,0
"Bedford County Public Schools","Big Island Elementary",45,45,0
"Bedford County Public Schools","Boonsboro Elementary",41,59,0
"Bedford County Public Schools","Forest Elementary",38,62,0
"Bedford County Public Schools","Forest Middle",49,46,0
"Bedford County Public Schools","Goodview Elementary",56,38,3
"Bedford County Public Schools","Huddleston Elementary",50,42,0
"Bedford County Public Schools","Jefferson Forest High",44,51,3
"Bedford County Public Schools","Liberty High",42,57,0
"Bedford County Public Schools","Liberty Middle",47,49,2
"Bedford County Public Schools","Moneta Elementary",42,54,0
"Bedford County Public Schools","Montvale Elementary",42,46,0
"Bedford County Public Schools","New London Academy Elementary",41,55,0
"Bedford County Public Schools","Otter River Elementary",55,40,0
"Bedford County Public Schools","Staunton River High",51,45,1
"Bedford County Public Schools","Staunton River Middle",52,46,0
"Bedford County Public Schools","Stewartsville Elementary",50,47,0
"Bedford County Public Schools","Thomas Jefferson Elementary",56,42,0
"Bland County Public Schools","Bland County Elementary ",69,29,0
"Bland County Public Schools","Bland County High",58,35,3
"Botetourt County Public Schools","Breckinridge Elementary",48,48,0
"Botetourt County Public Schools","Buchanan Elementary",30,70,0
"Botetourt County Public Schools","Central Academy Middle",63,35,3
"Botetourt County Public Schools","Cloverdale Elementary",50,46,0
"Botetourt County Public Schools","Colonial Elementary",55,45,0
"Botetourt County Public Schools","Eagle Rock Elementary",44,56,0
"Botetourt County Public Schools","Greenfield Elementary",43,57,0
"Botetourt County Public Schools","James River High",37,57,0
"Botetourt County Public Schools","Lord Botetourt High",48,48,1
"Botetourt County Public Schools","Read Mountain Middle",43,50,0
"Botetourt County Public Schools","Troutville Elementary",58,38,0
"Bristol City Public Schools","Highland View Elementary",56,44,0
"Bristol City Public Schools","Joseph Van Pelt Elementary",66,34,0
