"Division","School","Title1.Code","Percent.of.Inexperienced.Teachers","Percent.of.Out.of.Field.Teachers"
"Fairfax County Public Schools","Hayfield Elementary","Non-Title I",1.9,0
"Fairfax County Public Schools","Hayfield Secondary","Non-Title I",4.3,7.4
"Fairfax County Public Schools","Herndon Elementary","Title I",5,5
"Fairfax County Public Schools","Herndon High","Non-Title I",2.1,5.7
"Fairfax County Public Schools","Herndon Middle","Non-Title I",3.6,1.8
"Fairfax County Public Schools","Hollin Meadows Elementary","Title I",4.4,1.5
"Fairfax County Public Schools","Holmes Middle","Non-Title I",2.2,0
"Fairfax County Public Schools","Hughes Middle","Non-Title I",2.3,5.7
"Fairfax County Public Schools","Hunt Valley Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences","Non-Title I",3.2,0
"Fairfax County Public Schools","Hutchison Elementary","Title I",0.9,0.9
"Fairfax County Public Schools","Hybla Valley Elementary","Title I",9,0
"Fairfax County Public Schools","Irving Middle","Non-Title I",4.4,4.4
"Fairfax County Public Schools","Island Creek Elementary","Non-Title I",6.3,1.6
"Fairfax County Public Schools","Jackson Middle","Non-Title I",3.3,3.3
"Fairfax County Public Schools","Johnson Middle","Non-Title I",7.5,2.2
"Fairfax County Public Schools","Justice High","Non-Title I",3.4,2.4
"Fairfax County Public Schools","Keene Mill Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Kent Gardens Elementary","Non-Title I",2.8,7
"Fairfax County Public Schools","Key Center","Non-Title I",0,0
"Fairfax County Public Schools","Key Middle","Non-Title I",6.1,2.4
"Fairfax County Public Schools","Kilmer Center","Non-Title I",0,0
"Fairfax County Public Schools","Kilmer Middle","Non-Title I",3.4,0
"Fairfax County Public Schools","Kings Glen Elementary","Non-Title I",2.3,0
"Fairfax County Public Schools","Kings Park Elementary","Non-Title I",2,0
"Fairfax County Public Schools","Lake Anne Elementary","Non-Title I",1.8,5.4
"Fairfax County Public Schools","Lake Braddock Secondary","Non-Title I",2.6,4.2
"Fairfax County Public Schools","Lane Elementary","Non-Title I",7,3.5
"Fairfax County Public Schools","Langley High","Non-Title I",1.5,5.2
"Fairfax County Public Schools","Laurel Hill Elementary","Non-Title I",4.9,0
"Fairfax County Public Schools","Laurel Ridge Elementary","Non-Title I",4.3,7.1
"Fairfax County Public Schools","Lees Corner Elementary","Non-Title I",3.3,0
"Fairfax County Public Schools","Lemon Road Elementary","Non-Title I",2.1,0
"Fairfax County Public Schools","Lewis High","Non-Title I",1.3,5.9
"Fairfax County Public Schools","Liberty Middle","Non-Title I",2.1,1.1
"Fairfax County Public Schools","Little Run Elementary","Non-Title I",2.8,0
"Fairfax County Public Schools","London Towne Elementary","Title I",1.3,10.4
"Fairfax County Public Schools","Longfellow Middle","Non-Title I",5.3,1.1
"Fairfax County Public Schools","Lorton Station Elementary","Non-Title I",1.4,0
"Fairfax County Public Schools","Lynbrook Elementary","Title I",4.4,0
"Fairfax County Public Schools","Madison High","Non-Title I",5,5
"Fairfax County Public Schools","Mantua Elementary","Non-Title I",1.3,1.3
"Fairfax County Public Schools","Marshall High","Non-Title I",0.6,3.1
"Fairfax County Public Schools","Marshall Road Elementary","Non-Title I",4.3,0
"Fairfax County Public Schools","Mason Crest Elementary","Non-Title I",3.1,1.6
"Fairfax County Public Schools","McLean High","Non-Title I",2.5,1.9
"Fairfax County Public Schools","McNair Elementary","Non-Title I",7.4,0
"Fairfax County Public Schools","Mosaic Elementary","Non-Title I",2.7,1.3
"Fairfax County Public Schools","Mount Eagle Elementary","Title I",4.9,0
"Fairfax County Public Schools","Mount Vernon High","Non-Title I",3.2,10.3
"Fairfax County Public Schools","Mount Vernon Woods Elementary","Title I",1.5,0
"Fairfax County Public Schools","Mountain View High","Non-Title I",0,5.3
"Fairfax County Public Schools","Navy Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Newington Forest Elementary","Non-Title I",4.8,0
"Fairfax County Public Schools","North Springfield Elementary","Non-Title I",5.6,0
"Fairfax County Public Schools","Oak Hill Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Oak View Elementary","Non-Title I",1.6,3.2
"Fairfax County Public Schools","Oakton Elementary","Non-Title I",10,0
"Fairfax County Public Schools","Oakton High","Non-Title I",3.8,3.3
"Fairfax County Public Schools","Olde Creek Elementary","Non-Title I",13.6,0
"Fairfax County Public Schools","Orange Hunt Elementary","Non-Title I",2.9,4.3
"Fairfax County Public Schools","Parklawn Elementary","Title I",8.6,0
"Fairfax County Public Schools","Pine Spring Elementary","Title I",12.9,0
"Fairfax County Public Schools","Poe Middle","Title I",5,2
"Fairfax County Public Schools","Poplar Tree Elementary","Non-Title I",0,3.5
"Fairfax County Public Schools","Powell Elementary","Non-Title I",1.4,2.7
"Fairfax County Public Schools","Providence Elementary","Title I",3.6,0
"Fairfax County Public Schools","Ravensworth Elementary","Non-Title I",7.8,11.8
"Fairfax County Public Schools","Riverside Elementary","Title I",7.7,1.3
"Fairfax County Public Schools","Robinson Secondary","Non-Title I",1.5,4.8
"Fairfax County Public Schools","Rocky Run Middle","Non-Title I",2.5,6.3
"Fairfax County Public Schools","Rolling Valley Elementary","Non-Title I",1.9,1.9
"Fairfax County Public Schools","Rose Hill Elementary","Non-Title I",5.7,10
"Fairfax County Public Schools","Sandburg Middle","Non-Title I",3.2,0.8
"Fairfax County Public Schools","Sangster Elementary","Non-Title I",1.5,1.5
"Fairfax County Public Schools","Saratoga Elementary","Non-Title I",4.4,0
"Fairfax County Public Schools","Sherman Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Shrevewood Elementary","Non-Title I",0,1.6
"Fairfax County Public Schools","Silverbrook Elementary","Non-Title I",3.4,0
"Fairfax County Public Schools","Sleepy Hollow Elementary","Title I",2.1,0
"Fairfax County Public Schools","South County High","Non-Title I",1.9,7.1
"Fairfax County Public Schools","South County Middle","Non-Title I",2.5,3.8
"Fairfax County Public Schools","South Lakes High","Non-Title I",5.7,5.3
"Fairfax County Public Schools","Spring Hill Elementary","Non-Title I",0,1.5
"Fairfax County Public Schools","Springfield Estates Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Stenwood Elementary","Non-Title I",2.3,0
"Fairfax County Public Schools","Stone Middle","Non-Title I",4.7,6.3
"Fairfax County Public Schools","Stratford Landing Elementary","Non-Title I",3.3,0
"Fairfax County Public Schools","Sunrise Valley Elementary","Non-Title I",1.8,0
"Fairfax County Public Schools","Terra Centre Elementary","Non-Title I",1.9,0
"Fairfax County Public Schools","Terraset Elementary","Non-Title I",6.8,0
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology","Non-Title I",1.6,0.8
"Fairfax County Public Schools","Thoreau Middle","Non-Title I",2,2
"Fairfax County Public Schools","Timber Lane Elementary","Title I",15.6,0
"Fairfax County Public Schools","Twain Middle","Non-Title I",5.6,1.1
"Fairfax County Public Schools","Union Mill Elementary","Non-Title I",2.9,0
"Fairfax County Public Schools","Vienna Elementary","Non-Title I",8.1,0
"Fairfax County Public Schools","Virginia Run Elementary","Non-Title I",1.8,1.8
"Fairfax County Public Schools","Wakefield Forest Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Waples Mill Elementary","Non-Title I",4.2,1.4
"Fairfax County Public Schools","Washington Mill Elementary","Title I",3.5,14
"Fairfax County Public Schools","Waynewood Elementary","Non-Title I",7.7,1.9
"Fairfax County Public Schools","West Potomac High","Non-Title I",1.4,5.3
"Fairfax County Public Schools","West Springfield Elementary","Non-Title I",5.6,3.7
"Fairfax County Public Schools","West Springfield High","Non-Title I",3,6.6
"Fairfax County Public Schools","Westbriar Elementary","Non-Title I",3.2,0
"Fairfax County Public Schools","Westfield High","Non-Title I",3.1,6.7
"Fairfax County Public Schools","Westgate Elementary","Non-Title I",3.8,1.9
"Fairfax County Public Schools","Westlawn Elementary","Title I",5.1,2.5
"Fairfax County Public Schools","Weyanoke Elementary","Title I",6.3,0
"Fairfax County Public Schools","White Oaks Elementary","Non-Title I",0,0
"Fairfax County Public Schools","Whitman Middle","Non-Title I",4.6,4.6
"Fairfax County Public Schools","Willow Springs Elementary","Non-Title I",4.3,1.4
"Fairfax County Public Schools","Wolftrap Elementary","Non-Title I",2.3,0
"Fairfax County Public Schools","Woodburn Elementary","Title I",5,0
"Fairfax County Public Schools","Woodlawn Elementary","Title I",0,0
"Fairfax County Public Schools","Woodley Hills Elementary","Title I",1.8,0
"Fairfax County Public Schools","Woodson High","Non-Title I",3.7,8.6
"Falls Church City Public Schools","Mary Ellen Henderson Middle","Non-Title I",1.8,3.6
"Falls Church City Public Schools","Meridian High","Non-Title I",1.4,2.8
"Falls Church City Public Schools","Mount Daniel Elementary","Non-Title I",0,0
"Falls Church City Public Schools","Oak Street Elementary","Title I",0,0
"Fauquier County Public Schools","Auburn Middle","Non-Title I",0,0
"Fauquier County Public Schools","C. Hunter Ritchie Elementary","Non-Title I",0,3.1
"Fauquier County Public Schools","C.M. Bradley Elementary","Non-Title I",0,3
"Fauquier County Public Schools","Cedar Lee Middle","Non-Title I",0,0
"Fauquier County Public Schools","Claude Thompson Elementary","Title I",0,0
"Fauquier County Public Schools","Fauquier High","Non-Title I",0,12.5
"Fauquier County Public Schools","Grace Miller Elementary","Title I",0,2.8
"Fauquier County Public Schools","Greenville Elementary","Non-Title I",0,8.6
"Fauquier County Public Schools","H.M. Pearson Elementary","Title I",0,0
"Fauquier County Public Schools","James G. Brumfield Elementary","Non-Title I",0,5.7
"Fauquier County Public Schools","Kettle Run High","Non-Title I",0,22.9
"Fauquier County Public Schools","Liberty High","Non-Title I",0,20.6
"Fauquier County Public Schools","Margaret M. Pierce Elementary","Title I",0,8.1
"Fauquier County Public Schools","Marshall Middle","Non-Title I",0,4.2
"Fauquier County Public Schools","Mary Walter Elementary","Title I",0,3.7
"Fauquier County Public Schools","P.B. Smith Elementary","Non-Title I",0,0
"Fauquier County Public Schools","W.C. Taylor Middle","Non-Title I",0,4.4
"Fauquier County Public Schools","W.G. Coleman Elementary","Non-Title I",0,3.7
"Fauquier County Public Schools","Warrenton Middle","Non-Title I",0,13.6
"Floyd County Public Schools","Check Elementary","Title I",0,7.4
"Floyd County Public Schools","Floyd County High","Non-Title I",3.1,9.4
"Floyd County Public Schools","Floyd Elementary","Title I",3.9,7.8
"Floyd County Public Schools","Indian Valley Elementary","Title I",0,18.8
"Floyd County Public Schools","Willis Elementary","Title I",0,0
"Fluvanna County Public Schools","Carysbrook Elementary","Title I",0,0
"Fluvanna County Public Schools","Central Elementary","Title I",0,0
"Fluvanna County Public Schools","Fluvanna County High","Non-Title I",2.5,0
"Fluvanna County Public Schools","Fluvanna Middle","Non-Title I",2.9,1.5
"Franklin City Public Schools","Franklin High","Non-Title I",3.6,17.9
"Franklin City Public Schools","Joseph P. King Jr. Middle","Title I",18.8,15.6
"Franklin City Public Schools","S.P. Morton Elementary","Title I",9.5,16.7
"Franklin County Public Schools","Benjamin Franklin Middle","Non-Title I",0.7,1.4
"Franklin County Public Schools","Boones Mill Elementary","Non-Title I",10.7,0
"Franklin County Public Schools","Burnt Chimney Elementary","Non-Title I",0,0
"Franklin County Public Schools","Callaway Elementary","Title I",4.3,0
"Franklin County Public Schools","Dudley Elementary","Non-Title I",0,0
"Franklin County Public Schools","Ferrum Elementary","Title I",3.4,0
"Franklin County Public Schools","Franklin County High","Non-Title I",3.9,5.1
"Franklin County Public Schools","Glade Hill Elementary","Title I",0,0
"Franklin County Public Schools","Henry Elementary","Title I",0,0
"Franklin County Public Schools","Lee M. Waid Elementary","Title I",8.6,0
"Franklin County Public Schools","Rocky Mount Elementary","Title I",0,0
"Franklin County Public Schools","Snow Creek Elementary","Title I",0,0
"Franklin County Public Schools","Sontag Elementary","Title I",3.2,0
"Franklin County Public Schools","Windy Gap Elementary","Non-Title I",0,0
"Frederick County Public Schools","Admiral Richard E. Byrd Middle","Non-Title I",0.9,2.6
"Frederick County Public Schools","Apple Pie Ridge Elementary","Title I",11.4,2.3
"Frederick County Public Schools","Armel Elementary","Non-Title I",0,0
"Frederick County Public Schools","Bass-Hoover Elementary","Title I",2.2,0
"Frederick County Public Schools","Evendale Elementary","Title I",6.5,0
"Frederick County Public Schools","Frederick County Middle","Non-Title I",1,3.1
"Frederick County Public Schools","Gainesboro Elementary","Title I",2.4,0
"Frederick County Public Schools","Greenwood Mill Elementary","Non-Title I",6.1,0
"Frederick County Public Schools","Indian Hollow Elementary","Title I",2.9,5.9
"Frederick County Public Schools","James Wood High","Non-Title I",2.5,0.8
"Frederick County Public Schools","James Wood Middle","Non-Title I",2.7,1.8
"Frederick County Public Schools","Middletown Elementary","Title I",4.5,0
"Frederick County Public Schools","Millbrook High","Non-Title I",3.3,0
"Frederick County Public Schools","Orchard View Elementary","Title I",15.9,0
"Frederick County Public Schools","Redbud Run Elementary","Title I",1.8,0
"Frederick County Public Schools","Robert E. Aylor Middle","Non-Title I",2.2,5.4
"Frederick County Public Schools","Sherando High","Non-Title I",2.1,1.4
"Frederick County Public Schools","Stonewall Elementary","Title I",2.5,0
"Fredericksburg City Public Schools","Hugh Mercer Elementary","Title I",11.8,0
"Fredericksburg City Public Schools","James Monroe High","Non-Title I",6.4,1.3
"Fredericksburg City Public Schools","Lafayette Elementary","Title I",1.4,0
"Fredericksburg City Public Schools","Walker-Grant Middle","Title I",12.3,3.1
"Galax City Public Schools","Galax Elementary","Title I",7.8,2
"Galax City Public Schools","Galax High","Non-Title I",10.3,0
"Galax City Public Schools","Galax Middle","Non-Title I",14.8,7.4
"Giles County Public Schools","Eastern Elementary/Middle ","Title I",2.4,0
"Giles County Public Schools","Giles High","Non-Title I",2,2
"Giles County Public Schools","Macy Mcclaugherty Elementary/Middle","Title I",15.2,0
"Giles County Public Schools","Narrows Elementary/Middle ","Title I",2.4,0
"Giles County Public Schools","Narrows High","Non-Title I",3.3,6.7
"Gloucester County Public Schools","Abingdon Elementary","Title I",6.4,0
"Gloucester County Public Schools","Achilles Elementary","Title I",3,0
"Gloucester County Public Schools","Bethel Elementary","Title I",5.1,0
"Gloucester County Public Schools","Botetourt Elementary","Title I",2.1,0
"Gloucester County Public Schools","Gloucester High","Non-Title I",1.7,0
"Gloucester County Public Schools","Page Middle","Non-Title I",2,0
"Gloucester County Public Schools","Peasley Middle","Non-Title I",1.9,0
"Gloucester County Public Schools","Petsworth Elementary","Title I",6.9,0
"Goochland County Public Schools","Byrd Elementary","Title I",2.8,0
"Goochland County Public Schools","Goochland Elementary","Non-Title I",7.1,0
"Goochland County Public Schools","Goochland High","Non-Title I",5.6,4.2
"Goochland County Public Schools","Goochland Middle","Non-Title I",8.6,5.2
"Goochland County Public Schools","Randolph Elementary","Non-Title I",2.2,2.2
"Grayson County Public Schools","Fairview Elementary","Title I",16.7,5.6
"Grayson County Public Schools","Fries Elementary","Title I",0,3.6
"Grayson County Public Schools","Grayson County High","Non-Title I",7.3,3.6
"Grayson County Public Schools","Grayson Highlands","Title I",5.3,5.3
"Grayson County Public Schools","Independence Elementary","Title I",0,0
"Grayson County Public Schools","Independence Middle","Non-Title I",6.3,3.1
"Greene County Public Schools","Nathanael Greene Elementary","Title I",5.9,0
"Greene County Public Schools","Nathanael Greene Primary","Title I",0,0
"Greene County Public Schools","Ruckersville Elementary","Non-Title I",7.3,0
"Greene County Public Schools","William Monroe High","Non-Title I",1.5,7.7
"Greene County Public Schools","William Monroe Middle","Non-Title I",4.3,10.6
"Greensville County Public Schools","Belfield Elementary","Title I",0,11.8
"Greensville County Public Schools","Edward W. Wyatt Middle","Non-Title I",10.6,6.4
"Greensville County Public Schools","Greensville County High","Non-Title I",5.5,14.5
"Greensville County Public Schools","Greensville Elementary","Title I",5.2,2.6
"Halifax County Public Schools","Clays Mill Elementary","Title I",0,0
"Halifax County Public Schools","Cluster Springs Elementary","Title I",0,0
"Halifax County Public Schools","Halifax County High","Non-Title I",4.7,11.6
"Halifax County Public Schools","Halifax County Middle","Non-Title I",8.4,12.6
"Halifax County Public Schools","Meadville Elementary","Title I",0,5.9
"Halifax County Public Schools","Scottsburg Elementary","Title I",3.6,3.6
"Halifax County Public Schools","Sinai Elementary","Title I",4.5,0
"Halifax County Public Schools","South Boston Elementary","Title I",10,12
"Halifax County Public Schools","Sydnor Jennings Elementary","Title I",0,8
"Hampton City Public Schools","A.W.E. Bassette Elementary","Title I",22.6,0
"Hampton City Public Schools","Aberdeen Elementary","Title I",9.4,0
"Hampton City Public Schools","Albert W. Patrick III Elementary","Title I",12,0
"Hampton City Public Schools","Alfred S. Forrest Elementary","Title I",3,0
"Hampton City Public Schools","Armstrong Elementary","Non-Title I",0,0
"Hampton City Public Schools","Barron Elementary","Non-Title I",3.6,0
"Hampton City Public Schools","Benjamin Syms Middle","Title I",13.2,2.9
"Hampton City Public Schools","Bethel High","Non-Title I",13,0
"Hampton City Public Schools","C. Alton Lindsay Middle","Title I",12.1,3.4
"Hampton City Public Schools","Captain John Smith Elementary","Title I",7.4,0
"Hampton City Public Schools","Cesar Tarrant Middle","Title I",14.5,0
"Hampton City Public Schools","Christopher C. Kraft Elementary ","Title I",6.5,3.2
"Hampton City Public Schools","Francis Asbury Elementary","Non-Title I",23.1,0
"Hampton City Public Schools","Francis W. Jones Magnet Middle","Non-Title I",3.8,0
"Hampton City Public Schools","George P. Phenix Elementary","Non-Title I",8.4,0
"Hampton City Public Schools","Hampton High","Non-Title I",7,1
"Hampton City Public Schools","Hunter B. Andrews","Title I",8.5,1.2
"Hampton City Public Schools","Jane H. Bryan Elementary","Title I",17.2,0
"Hampton City Public Schools","Kecoughtan High","Non-Title I",4.9,0
"Hampton City Public Schools","Luther W. Machen Elementary ","Title I",3.7,0
"Hampton City Public Schools","Mary S. Peake Elementary","Title I",15.6,0
"Hampton City Public Schools","Mary T. Christian Elementary","Title I",16.7,0
"Hampton City Public Schools","Mary W. Jackson Elementary","Non-Title I",7.1,0
"Hampton City Public Schools","Paul Burbank Elementary","Non-Title I",17.2,0
"Hampton City Public Schools","Phillips Elementary","Non-Title I",7.1,3.6
"Hampton City Public Schools","Phoebus High","Non-Title I",13.5,1.1
"Hampton City Public Schools","Samuel P. Langley Elementary","Non-Title I",2.7,0
"Hampton City Public Schools","Thomas Eaton Middle","Non-Title I",3.8,0
"Hampton City Public Schools","William Mason Cooper Elementary","Non-Title I",8.3,4.2
"Hanover County Public Schools","Atlee High","Non-Title I",2.9,3.9
"Hanover County Public Schools","Battlefield Park Elementary","Non-Title I",0,0
"Hanover County Public Schools","Beaverdam Elementary","Non-Title I",0,0
"Hanover County Public Schools","Bell Creek Middle","Non-Title I",5.2,3.4
"Hanover County Public Schools","Chickahominy Middle","Non-Title I",0,0
"Hanover County Public Schools","Cold Harbor Elementary","Non-Title I",0,0
"Hanover County Public Schools","Cool Spring Elementary","Non-Title I",0,0
"Hanover County Public Schools","Elmont Elementary","Title I",5.6,0
"Hanover County Public Schools","Hanover High","Non-Title I",3.4,5.7
"Hanover County Public Schools","Henry Clay Elementary","Non-Title I",0,0
"Hanover County Public Schools","John M. Gandy Elementary","Non-Title I",3.3,0
"Hanover County Public Schools","Kersey Creek Elementary","Non-Title I",0,0
"Hanover County Public Schools","Laurel Meadow Elementary","Non-Title I",2.6,2.6
"Hanover County Public Schools","Liberty Middle","Non-Title I",3.1,3.1
"Hanover County Public Schools","Mechanicsville Elementary","Title I",0,0
"Hanover County Public Schools","Mechanicsville High","Non-Title I",5.6,1.1
"Hanover County Public Schools","Oak Knoll Middle","Non-Title I",1.6,1.6
"Hanover County Public Schools","Patrick Henry High","Non-Title I",2.4,1.2
"Hanover County Public Schools","Pearson's Corner Elementary","Non-Title I",0,0
"Hanover County Public Schools","Pole Green Elementary","Non-Title I",0,0
"Hanover County Public Schools","Rural Point Elementary","Non-Title I",0,0
"Hanover County Public Schools","South Anna Elementary","Non-Title I",3.1,0
"Hanover County Public Schools","Washington-Henry Elementary ","Non-Title I",0,0
"Harrisonburg City Public Schools","Bluestone Elementary","Title I",0,2.3
"Harrisonburg City Public Schools","Harrisonburg High","Non-Title I",1.4,3.6
"Harrisonburg City Public Schools","Keister Elementary","Title I",0,0
"Harrisonburg City Public Schools","Skyline Middle","Non-Title I",1.5,4.6
"Harrisonburg City Public Schools","Smithland Elementary","Title I",3.6,0
"Harrisonburg City Public Schools","Spotswood Elementary","Title I",2.7,0
"Harrisonburg City Public Schools","Stone Spring Elementary","Title I",0,0
"Harrisonburg City Public Schools","Thomas Harrison Middle","Non-Title I",1.5,4.5
"Harrisonburg City Public Schools","Waterman Elementary","Title I",0,0
"Henrico County Public Schools","Anthony P. Mehfoud Elementary","Non-Title I",3.8,0
"Henrico County Public Schools","Arthur Ashe Jr. Elementary ","Title I",5.7,2.9
"Henrico County Public Schools","Brookland Middle","Non-Title I",4.3,0
"Henrico County Public Schools","Cashell Donahoe Elementary","Title I",2.6,0
"Henrico County Public Schools","Chamberlayne Elementary","Title I",0,0
"Henrico County Public Schools","Charles M. Johnson Elementary","Title I",0,0
"Henrico County Public Schools","Colonial Trail Elementary","Non-Title I",4.4,0
"Henrico County Public Schools","Crestview Elementary","Non-Title I",0,0
"Henrico County Public Schools","David A. Kaechele Elementary ","Non-Title I",0,0
"Henrico County Public Schools","Deep Run High","Non-Title I",1.8,0
"Henrico County Public Schools","Douglas S. Freeman High","Non-Title I",0.9,1.7
"Henrico County Public Schools","Dumbarton Elementary","Title I",0,0
"Henrico County Public Schools","Echo Lake Elementary","Non-Title I",0,0
"Henrico County Public Schools","Elizabeth Holladay Elementary","Title I",2.3,0
"Henrico County Public Schools","Elko Middle","Non-Title I",10,1.4
"Henrico County Public Schools","Fair Oaks Elementary","Title I",13.2,0
"Henrico County Public Schools","Fairfield Middle","Non-Title I",8.6,0
"Henrico County Public Schools","Gayton Elementary","Non-Title I",2.6,0
"Henrico County Public Schools","George F. Baker Elementary","Title I",0,0
"Henrico County Public Schools","George H. Moody Middle","Non-Title I",5.1,3.8
"Henrico County Public Schools","Glen Allen Elementary","Non-Title I",4.8,0
"Henrico County Public Schools","Glen Allen High","Non-Title I",1.7,0
"Henrico County Public Schools","Glen Lea Elementary","Title I",12.5,0
"Henrico County Public Schools","Greenwood Elementary ","Non-Title I",0,0
"Henrico County Public Schools","Harold Macon Ratcliffe Elementary","Title I",2.9,2.9
"Henrico County Public Schools","Harvie Elementary","Title I",0,0
"Henrico County Public Schools","Henrico High","Non-Title I",6.7,0.8
"Henrico County Public Schools","Henry D. Ward Elementary","Title I",0,0
"Henrico County Public Schools","Hermitage High","Non-Title I",5.1,1.7
"Henrico County Public Schools","Highland Springs Elementary","Title I",11.1,0
"Henrico County Public Schools","Highland Springs High","Non-Title I",4.1,0.8
"Henrico County Public Schools","Holman Middle ","Non-Title I",3.4,0
"Henrico County Public Schools","Hungary Creek Middle ","Non-Title I",5.7,1.4
"Henrico County Public Schools","Jackson Davis Elementary","Non-Title I",7.7,0
"Henrico County Public Schools","Jacob L. Adams Elementary","Title I",0,0
"Henrico County Public Schools","John Randolph Tucker High","Non-Title I",1.8,0.9
"Henrico County Public Schools","John Rolfe Middle","Non-Title I",5,0
"Henrico County Public Schools","L. Douglas Wilder Middle","Non-Title I",4,0
"Henrico County Public Schools","Laburnum Elementary","Title I",2.6,0
"Henrico County Public Schools","Lakeside Elementary","Title I",5,0
"Henrico County Public Schools","Longdale Elementary","Title I",2.7,0
"Henrico County Public Schools","Maude Trevvett Elementary","Non-Title I",2.8,0
"Henrico County Public Schools","Maybeury Elementary","Non-Title I",2.6,0
"Henrico County Public Schools","Mills E. Godwin High","Non-Title I",0.9,0
"Henrico County Public Schools","Montrose Elementary","Title I",3.1,0
"Henrico County Public Schools","Nuckols Farm Elementary","Non-Title I",2.2,0
"Henrico County Public Schools","Pemberton Elementary","Non-Title I",3.8,0
"Henrico County Public Schools","Pinchbeck Elementary","Non-Title I",0,0
"Henrico County Public Schools","Pocahontas Middle","Non-Title I",3.2,0
"Henrico County Public Schools","Quioccasin Middle","Non-Title I",0,0
"Henrico County Public Schools","R.C. Longan Elementary","Non-Title I",2.9,0
"Henrico County Public Schools","Ridge Elementary","Title I",2.6,0
"Henrico County Public Schools","Rivers Edge Elementary","Non-Title I",5.8,1.9
"Henrico County Public Schools","Ruby F. Carver Elementary","Non-Title I",0,0
"Henrico County Public Schools","Sandston Elementary","Title I",8.7,0
"Henrico County Public Schools","Seven Pines Elementary","Non-Title I",3.6,0
"Henrico County Public Schools","Shady Grove Elementary","Non-Title I",2.3,0
"Henrico County Public Schools","Short Pump Elementary","Non-Title I",2.6,0
"Henrico County Public Schools","Short Pump Middle","Non-Title I",2.8,2.8
"Henrico County Public Schools","Skipwith Elementary","Non-Title I",8.9,0
"Henrico County Public Schools","Springfield Park Elementary","Non-Title I",0,0
"Henrico County Public Schools","Three Chopt Elementary","Non-Title I",6.9,0
"Henrico County Public Schools","Tuckahoe Elementary","Non-Title I",2.1,0
"Henrico County Public Schools","Tuckahoe Middle","Non-Title I",2.7,0
"Henrico County Public Schools","Twin Hickory Elementary","Non-Title I",4.9,0
"Henrico County Public Schools","Varina Elementary","Non-Title I",0,0
"Henrico County Public Schools","Varina High","Non-Title I",5.3,0
"Henry County Public Schools","Axton Elementary","Title I",3.3,0
"Henry County Public Schools","Bassett High","Non-Title I",6.3,5.3
"Henry County Public Schools","Campbell Court Elementary","Title I",7.7,0
"Henry County Public Schools","Drewry Mason Elementary","Title I",6.3,0
"Henry County Public Schools","Fieldale-Collinsville Middle ","Non-Title I",10,2.9
"Henry County Public Schools","G.W. Carver Elementary ","Title I",13.5,0
"Henry County Public Schools","Laurel Park Middle ","Non-Title I",10.5,1.8
"Henry County Public Schools","Magna Vista High","Non-Title I",13.7,3.2
"Henry County Public Schools","Meadow View Elementary","Title I",0,0
"Henry County Public Schools","Mount Olivet Elementary ","Title I",8.3,0
"Henry County Public Schools","Rich Acres Elementary","Title I",0,0
"Henry County Public Schools","Sanville Elementary","Title I",0,0
"Henry County Public Schools","Stanleytown Elementary","Title I",7.1,0
"Highland County Public Schools","Highland Elementary","Title I",9.1,18.2
"Highland County Public Schools","Highland High","Title I",5,25
"Hopewell City Public Schools","Carter G. Woodson Middle","Title I",5.5,5.5
"Hopewell City Public Schools","Dupont Elementary","Title I",4.1,2
"Hopewell City Public Schools","Harry E. James Elementary","Title I",9.3,7.4
"Hopewell City Public Schools","Hopewell High","Non-Title I",3.5,10.5
"Hopewell City Public Schools","Patrick Copeland Elementary","Title I",11.5,9.6
"Isle of Wight County Public Schools","Carrollton Elementary","Non-Title I",4,8
"Isle of Wight County Public Schools","Carrsville Elementary","Title I",3.7,3.7
"Isle of Wight County Public Schools","Georgie D. Tyler Middle","Non-Title I",0,2.9
"Isle of Wight County Public Schools","Hardy Elementary","Title I",0,2.5
"Isle of Wight County Public Schools","Smithfield High","Non-Title I",4.4,6.7
"Isle of Wight County Public Schools","Smithfield Middle","Non-Title I",0,2.1
"Isle of Wight County Public Schools","Westside Elementary","Non-Title I",3.5,5.3
"Isle of Wight County Public Schools","Windsor Elementary","Title I",2.1,0
"Isle of Wight County Public Schools","Windsor High","Non-Title I",2.2,8.9
"King George County Public Schools","King George Elementary","Title I",6.4,2.6
"King George County Public Schools","King George High","Non-Title I",3.9,11.7
"King George County Public Schools","King George Middle","Non-Title I",5.7,13.2
"King George County Public Schools","Potomac Elementary","Non-Title I",2.1,2.1
"King George County Public Schools","Sealston Elementary ","Title I",0,0
"King William County Public Schools","Acquinton Elementary","Non-Title I",0,2.6
"King William County Public Schools","Cool Spring Primary","Title I",0,2.9
"King William County Public Schools","Hamilton Holmes Middle","Non-Title I",0,2.3
"King William County Public Schools","King William High","Non-Title I",0,3.6
"King and Queen County Public Schools","Central High","Non-Title I",3.3,3.3
