"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"York County ","Grafton Bethel Elementary","English: Reading",84,95,75,69,78,84,85,84,65,85
"York County ","Grafton Bethel Elementary","History and Social Sciences",87,100,57,71,NA,85,100,89,64,91
"York County ","Grafton Bethel Elementary","Mathematics",93,100,95,85,100,92,93,94,76,93
"York County ","Grafton Bethel Elementary","Science",88,100,100,73,NA,86,71,92,71,89
"York County ","Magruder Elementary","English: Reading",85,100,76,76,50,88,79,82,61,89
"York County ","Magruder Elementary","History and Social Sciences",85,NA,73,77,NA,85,81,85,57,92
"York County ","Magruder Elementary","Mathematics",91,100,82,86,92,90,89,94,66,95
"York County ","Magruder Elementary","Science",84,NA,58,78,NA,85,72,83,82,97
"Wythe County ","Fort Chiswell High","English: Reading",91,NA,NA,83,NA,98,NA,86,61,92
"Wythe County ","Fort Chiswell High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County ","Fort Chiswell High","History and Social Sciences",91,NA,NA,86,NA,89,NA,93,88,92
"Wythe County ","Fort Chiswell High","Mathematics",96,NA,NA,99,NA,98,NA,94,88,96
"Wythe County ","Fort Chiswell High","Science",90,NA,80,84,NA,90,NA,90,76,90
"Wythe County ","Sheffey Elementary","English: Reading",91,NA,NA,87,NA,92,NA,90,77,91
"Wythe County ","Sheffey Elementary","History and Social Sciences",93,NA,NA,100,NA,92,NA,93,80,92
"Wythe County ","Sheffey Elementary","Mathematics",95,NA,NA,93,NA,92,NA,99,92,95
"Wythe County ","Sheffey Elementary","Science",89,NA,NA,85,NA,88,NA,91,75,89
"Wythe County ","Jackson Memorial Elementary","English: Reading",86,NA,NA,81,NA,94,NA,79,57,85
"Wythe County ","Jackson Memorial Elementary","History and Social Sciences",95,NA,NA,89,NA,100,NA,90,86,95
"Wythe County ","Jackson Memorial Elementary","Mathematics",87,NA,NA,81,NA,91,NA,83,50,86
"Wythe County ","Jackson Memorial Elementary","Science",97,NA,NA,100,NA,100,NA,93,NA,97
"Wythe County ","George Wythe High","English: Reading",90,NA,62,80,NA,94,NA,86,60,96
"Wythe County ","George Wythe High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County ","George Wythe High","History and Social Sciences",91,NA,88,82,NA,87,NA,95,82,92
"Wythe County ","George Wythe High","Mathematics",95,NA,92,94,NA,99,60,92,88,97
"Wythe County ","George Wythe High","Science",92,NA,88,85,NA,92,100,93,75,92
"Wythe County ","Speedwell Elementary","English: Reading",80,NA,NA,72,NA,81,NA,79,50,79
"Wythe County ","Speedwell Elementary","History and Social Sciences",100,NA,NA,100,NA,NA,NA,100,NA,100
"Wythe County ","Speedwell Elementary","Mathematics",92,NA,NA,91,NA,89,NA,94,88,91
"Wythe County ","Speedwell Elementary","Science",100,NA,NA,100,NA,100,NA,100,NA,100
"Wythe County ","Rural Retreat High","English: Reading",88,NA,NA,77,NA,95,NA,80,57,87
"Wythe County ","Rural Retreat High","English: Writing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County ","Rural Retreat High","History and Social Sciences",83,NA,NA,77,NA,81,NA,85,25,83
"Wythe County ","Rural Retreat High","Mathematics",92,NA,NA,91,NA,92,NA,91,57,92
"Wythe County ","Rural Retreat High","Science",91,NA,NA,88,NA,91,NA,91,73,91
