"Division","School","Provisional.Percent"
"Prince William County Public Schools","Mary Williams Elementary ",9.1
"Prince William County Public Schools","Minnieville Elementary",5.7
"Prince William County Public Schools","Montclair Elementary",3.8
"Prince William County Public Schools","Mountain View Elementary",2.5
"Prince William County Public Schools","Neabsco Elementary",8.3
"Prince William County Public Schools","Occoquan Elementary",0
"Prince William County Public Schools","Old Bridge Elementary",0
"Prince William County Public Schools","Osbourn Park High",4.3
"Prince William County Public Schools","Parkside Middle",13.3
"Prince William County Public Schools","Patriot High",3.3
"Prince William County Public Schools","Pennington Traditional",8.5
"Prince William County Public Schools","Piney Branch Elementary",7.4
"Prince William County Public Schools","Potomac High",3.1
"Prince William County Public Schools","Potomac Middle",13.3
"Prince William County Public Schools","Potomac View Elementary",3.8
"Prince William County Public Schools","R. Dean Kilby Elementary",0
"Prince William County Public Schools","Rippon Middle",7.5
"Prince William County Public Schools","River Oaks Elementary",7.7
"Prince William County Public Schools","Rockledge Elementary",4.9
"Prince William County Public Schools","Ronald Wilson Reagan Middle",3.4
"Prince William County Public Schools","Rosa Parks Elementary",10.2
"Prince William County Public Schools","Samuel L. Gravely Jr. Elementary",5.6
"Prince William County Public Schools","Sharon C. McAuliffe Elementary",7.7
"Prince William County Public Schools","Signal Hill Elementary",6
"Prince William County Public Schools","Sonnie Penn Elementary",10.4
"Prince William County Public Schools","Springwoods Elementary",3.7
"Prince William County Public Schools","Stuart M. Beville Middle",3.8
"Prince William County Public Schools","Sudley Elementary",1.8
"Prince William County Public Schools","Suella G. Ellis Elementary",4.4
"Prince William County Public Schools","Swans Creek Elementary",13.5
"Prince William County Public Schools","T. Clay Wood Elementary",1.7
"Prince William County Public Schools","The Nokesville School",5.6
"Prince William County Public Schools","Thurgood Marshall Elementary",2.1
"Prince William County Public Schools","Triangle Elementary",7.9
"Prince William County Public Schools","Unity Braxton Middle ",7
"Prince William County Public Schools","Unity Reed High",3.4
"Prince William County Public Schools","Victory Elementary",1.9
"Prince William County Public Schools","West Gate Elementary",6.5
"Prince William County Public Schools","Westridge Elementary",4.3
"Prince William County Public Schools","Woodbridge High",8
"Prince William County Public Schools","Woodbridge Middle",4.6
"Prince William County Public Schools","Yorkshire Elementary",1.5
"Pulaski County Public Schools","Critzer Elementary",0
"Pulaski County Public Schools","Dublin Elementary",2
"Pulaski County Public Schools","Pulaski County Senior High",10.9
"Pulaski County Public Schools","Pulaski Elementary ",2
"Pulaski County Public Schools","Riverlawn Elementary",0
"Pulaski County Public Schools","Snowville Elementary",0
"Radford City Public Schools","Belle Heth Elementary",2
"Radford City Public Schools","John N. Dalton Intermediate",5.1
"Radford City Public Schools","McHarg Elementary",3.1
"Radford City Public Schools","Radford High",3.8
"Rappahannock County Public Schools","Rappahannock County Elementary",6.8
"Rappahannock County Public Schools","Rappahannock County High",10.5
"Richmond City Public Schools","Albert Hill Middle",13.5
"Richmond City Public Schools","Amelia Street Special Education",50
"Richmond City Public Schools","Armstrong High ",17.2
"Richmond City Public Schools","Barack Obama Elementary",0
"Richmond City Public Schools","Bellevue Elementary",5.3
"Richmond City Public Schools","Binford Middle",11.1
"Richmond City Public Schools","Blackwell Elementary",18.2
"Richmond City Public Schools","Broad Rock Elementary",2.2
"Richmond City Public Schools","Cardinal Elementary",8
"Richmond City Public Schools","Chimborazo Elementary",3.6
"Richmond City Public Schools","Elizabeth D. Redd Elementary",0
"Richmond City Public Schools","Fairfield Court Elementary",20
"Richmond City Public Schools","Franklin Military Academy",11.1
"Richmond City Public Schools","G.H. Reid Elementary",15
"Richmond City Public Schools","George W. Carver Elementary",18.2
"Richmond City Public Schools","George Wythe High",25
"Richmond City Public Schools","Ginter Park Elementary",8.7
"Richmond City Public Schools","Henderson Middle",26
"Richmond City Public Schools","Henry Marsh III Elementary",13.3
"Richmond City Public Schools","Huguenot High",12.4
"Richmond City Public Schools","J.B. Fisher Elementary",0
"Richmond City Public Schools","J.L. Francis Elementary",8.3
"Richmond City Public Schools","John B. Cary Elementary",9.1
"Richmond City Public Schools","John Marshall High",6.3
"Richmond City Public Schools","Linwood Holton Elementary",5.6
"Richmond City Public Schools","Lucille M. Brown Middle",18.5
"Richmond City Public Schools","Martin Luther King Jr. Middle ",20
"Richmond City Public Schools","Mary Munford Elementary",0
"Richmond City Public Schools","Miles Jones Elementary",5
"Richmond City Public Schools","Oak Grove/Bellemeade Elementary",23.4
"Richmond City Public Schools","Open High",12.5
"Richmond City Public Schools","Overby-Sheppard Elementary",26.9
"Richmond City Public Schools","Richmond Community High",18.2
"Richmond City Public Schools","River City Middle",18.4
"Richmond City Public Schools","Southampton Elementary",9.7
"Richmond City Public Schools","Swansboro Elementary",15.8
"Richmond City Public Schools","Thomas C. Boushall Middle",14.5
"Richmond City Public Schools","Thomas Jefferson High",25.5
"Richmond City Public Schools","Westover Hills Elementary",7.1
"Richmond City Public Schools","William Fox Elementary",3.3
"Richmond City Public Schools","Woodville Elementary",14.3
"Richmond County Public Schools","Rappahannock High",7.5
"Richmond County Public Schools","Richmond County Elementary",0
"Roanoke City Public Schools","Addison Aerospace Magnet Middle",25.5
"Roanoke City Public Schools","Breckinridge Middle",13
"Roanoke City Public Schools","Crystal Spring Elementary",0
"Roanoke City Public Schools","Fairview Elementary",0
"Roanoke City Public Schools","Fallon Park Elementary",5.8
"Roanoke City Public Schools","Fishburn Park Elementary",5.7
"Roanoke City Public Schools","Garden City Elementary",8.6
"Roanoke City Public Schools","Grandin Court Elementary",2.8
"Roanoke City Public Schools","Highland Park Elementary",2.6
"Roanoke City Public Schools","Hurt Park Elementary",2.9
"Roanoke City Public Schools","James Madison Middle",4
"Roanoke City Public Schools","John P. Fishwick Middle",8.3
"Roanoke City Public Schools","Lincoln Terrace Elementary",11.1
"Roanoke City Public Schools","Monterey Elementary",2.6
"Roanoke City Public Schools","Morningside Elementary",0
"Roanoke City Public Schools","Patrick Henry High",10.2
"Roanoke City Public Schools","Preston Park Elementary",2.7
"Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary",7.3
"Roanoke City Public Schools","Round Hill Elementary",3.3
"Roanoke City Public Schools","Virginia Heights Elementary",0
"Roanoke City Public Schools","Wasena Elementary",0
"Roanoke City Public Schools","Westside Elementary",7.4
"Roanoke City Public Schools","William Fleming High",9.4
"Roanoke City Public Schools","Woodrow Wilson Middle",14
"Roanoke County Public Schools","Back Creek Elementary",7.1
"Roanoke County Public Schools","Bonsack Elementary",0
"Roanoke County Public Schools","Burlington Elementary",3
"Roanoke County Public Schools","Cave Spring Elementary",5.3
"Roanoke County Public Schools","Cave Spring High",2.5
"Roanoke County Public Schools","Cave Spring Middle",2.9
"Roanoke County Public Schools","Clearbrook Elementary",10
"Roanoke County Public Schools","Fort Lewis Elementary",4.2
"Roanoke County Public Schools","Glen Cove Elementary",6.1
"Roanoke County Public Schools","Glenvar Elementary",0
"Roanoke County Public Schools","Glenvar High",6.7
"Roanoke County Public Schools","Glenvar Middle",10.4
"Roanoke County Public Schools","Green Valley Elementary",5.3
"Roanoke County Public Schools","Herman L. Horn Elementary",2.9
"Roanoke County Public Schools","Hidden Valley High",3
"Roanoke County Public Schools","Hidden Valley Middle",3.8
"Roanoke County Public Schools","Mason's Cove Elementary",4.3
"Roanoke County Public Schools","Mount Pleasant Elementary",0
"Roanoke County Public Schools","Mountain View Elementary",6.5
"Roanoke County Public Schools","Northside High",10.1
"Roanoke County Public Schools","Northside Middle",1.6
"Roanoke County Public Schools","Oak Grove Elementary",6.7
"Roanoke County Public Schools","Penn Forest Elementary",11.8
"Roanoke County Public Schools","W.E. Cundiff Elementary",4.5
"Roanoke County Public Schools","William Byrd High",4.4
"Roanoke County Public Schools","William Byrd Middle",3.9
"Rockbridge County Public Schools","Central Elementary",2.6
"Rockbridge County Public Schools","Fairfield Elementary",0
"Rockbridge County Public Schools","Maury River Middle",3.4
"Rockbridge County Public Schools","Mountain View Elementary",0
"Rockbridge County Public Schools","Natural Bridge Elementary",7.1
"Rockbridge County Public Schools","Rockbridge County High",7.5
"Rockingham County Public Schools","Broadway High",2.7
"Rockingham County Public Schools","Cub Run Elementary",0
"Rockingham County Public Schools","East Rockingham High",5.5
"Rockingham County Public Schools","Elkton Elementary",0
"Rockingham County Public Schools","Elkton Middle",0
"Rockingham County Public Schools","Fulks Run Elementary",0
"Rockingham County Public Schools","J. Frank Hillyard Middle",1.7
"Rockingham County Public Schools","John C. Myers Elementary",0
"Rockingham County Public Schools","John W. Wayland Elementary",0
"Rockingham County Public Schools","Lacey Spring Elementary",0
"Rockingham County Public Schools","Linville-Edom Elementary",4.8
"Rockingham County Public Schools","McGaheysville Elementary",0
"Rockingham County Public Schools","Montevideo Middle",0
"Rockingham County Public Schools","Mountain View Elementary",0
"Rockingham County Public Schools","Ottobine Elementary",0
"Rockingham County Public Schools","Peak View Elementary",0
"Rockingham County Public Schools","Plains Elementary",2.9
"Rockingham County Public Schools","Pleasant Valley Elementary",0
"Rockingham County Public Schools","River Bend Elementary",3.1
"Rockingham County Public Schools","South River Elementary",0
"Rockingham County Public Schools","Spotswood High",4.2
"Rockingham County Public Schools","Turner Ashby High",6.5
"Rockingham County Public Schools","Wilbur S. Pence Middle",3.3
"Russell County Public Schools","Belfast Elementary",0
"Russell County Public Schools","Castlewood Elementary",8.8
"Russell County Public Schools","Castlewood High",3
"Russell County Public Schools","Copper Creek Elementary",0
"Russell County Public Schools","Honaker Elementary",5.8
"Russell County Public Schools","Honaker High",5.3
"Russell County Public Schools","Lebanon Elementary",0
"Russell County Public Schools","Lebanon High",10.4
"Russell County Public Schools","Lebanon Middle",10.7
"Russell County Public Schools","Lebanon Primary",8.7
"Russell County Public Schools","Swords Creek Elementary",13.3
"Salem City Public Schools","Andrew Lewis Middle",1.4
"Salem City Public Schools","East Salem Elementary",5.1
"Salem City Public Schools","G.W. Carver Elementary",5.1
"Salem City Public Schools","Salem High",2
"Salem City Public Schools","South Salem Elementary",0
"Salem City Public Schools","West Salem Elementary",0
"Scott County Public Schools","Duffield-Pattonsville Primary",8.3
"Scott County Public Schools","Dungannon Intermediate",0
"Scott County Public Schools","Fort Blackmore Primary",11.1
"Scott County Public Schools","Gate City High",13
"Scott County Public Schools","Gate City Middle",9.1
"Scott County Public Schools","Hilton Elementary",0
"Scott County Public Schools","Nickelsville Elementary",4.8
"Scott County Public Schools","Rye Cove High",0
"Scott County Public Schools","Rye Cove Intermediate",0
"Scott County Public Schools","Shoemaker Elementary",4.9
"Scott County Public Schools","Twin Springs High",3.6
"Scott County Public Schools","Weber City Elementary",4.3
"Scott County Public Schools","Yuma Elementary",6.7
"Shenandoah County Public Schools","Central High",12.1
"Shenandoah County Public Schools","Honey Run Elementary",6.1
"Shenandoah County Public Schools","Mountain View High",7.7
"Shenandoah County Public Schools","North Fork Middle",10.8
"Shenandoah County Public Schools","Peter Muhlenberg Middle",2.1
"Shenandoah County Public Schools","Sandy Hook Elementary",4.8
"Shenandoah County Public Schools","Signal Knob Middle",6.5
"Shenandoah County Public Schools","Strasburg High",3.6
"Shenandoah County Public Schools","W.W. Robinson Elementary",3.8
"Smyth County Public Schools","Atkins Elementary",4.3
"Smyth County Public Schools","Chilhowie Elementary",4.3
"Smyth County Public Schools","Chilhowie High",5.9
"Smyth County Public Schools","Chilhowie Middle",0
"Smyth County Public Schools","Marion Elementary",0
"Smyth County Public Schools","Marion Middle",10.6
"Smyth County Public Schools","Marion Senior High",13.3
"Smyth County Public Schools","Northwood High",0
"Smyth County Public Schools","Northwood Middle",0
"Smyth County Public Schools","Oak Point Elementary",8.1
"Smyth County Public Schools","Rich Valley Elementary",5.9
"Smyth County Public Schools","Saltville Elementary",0
"Smyth County Public Schools","Sugar Grove Elementary",5.9
"Southampton County Public Schools","Capron Elementary",8.7
"Southampton County Public Schools","Meherrin Elementary",7.4
"Southampton County Public Schools","Nottoway Elementary",7.1
"Southampton County Public Schools","Riverdale Elementary",12.2
"Southampton County Public Schools","Southampton High",17.9
"Southampton County Public Schools","Southampton Middle",10.6
"Spotsylvania County Public Schools","Battlefield Elementary",2.2
"Spotsylvania County Public Schools","Battlefield Middle",11.7
"Spotsylvania County Public Schools","Berkeley Elementary",9.7
"Spotsylvania County Public Schools","Brock Road Elementary",0
"Spotsylvania County Public Schools","Cedar Forest Elementary",5.2
"Spotsylvania County Public Schools","Chancellor Elementary",0
"Spotsylvania County Public Schools","Chancellor High",9.6
"Spotsylvania County Public Schools","Chancellor Middle",4.5
"Spotsylvania County Public Schools","Courthouse Road Elementary",3.8
"Spotsylvania County Public Schools","Courtland Elementary",5.1
"Spotsylvania County Public Schools","Courtland High",6.5
"Spotsylvania County Public Schools","Freedom Middle",8.2
"Spotsylvania County Public Schools","Harrison Road Elementary",1.9
"Spotsylvania County Public Schools","Lee Hill Elementary",2.1
"Spotsylvania County Public Schools","Livingston Elementary",3.4
"Spotsylvania County Public Schools","Massaponax High",7.1
"Spotsylvania County Public Schools","Ni River Middle",6.3
"Spotsylvania County Public Schools","Parkside Elementary",1.8
"Spotsylvania County Public Schools","Post Oak Middle",5.4
"Spotsylvania County Public Schools","Riverbend High ",5.9
"Spotsylvania County Public Schools","Riverview Elementary",2.1
"Spotsylvania County Public Schools","Salem Elementary",2.2
"Spotsylvania County Public Schools","Smith Station Elementary",2
"Spotsylvania County Public Schools","Spotswood Elementary",7.5
"Spotsylvania County Public Schools","Spotsylvania Elementary",5.1
"Spotsylvania County Public Schools","Spotsylvania High",5.3
"Spotsylvania County Public Schools","Spotsylvania Middle",9.1
"Spotsylvania County Public Schools","Thornburg Middle",10.2
"Spotsylvania County Public Schools","Wilderness Elementary",8.2
"Stafford County Public Schools","Andrew G. Wright Middle",6.6
"Stafford County Public Schools","Anne E. Moncure Elementary",2.1
"Stafford County Public Schools","Anthony Burns Elementary",11.8
"Stafford County Public Schools","Brooke Point High",10.2
"Stafford County Public Schools","Colonial Forge High",9.2
"Stafford County Public Schools","Conway Elementary",2.2
"Stafford County Public Schools","Donald B. Dixon-Lyle R. Smith Middle",13.5
"Stafford County Public Schools","Edward E. Drew Jr. Middle",14.8
"Stafford County Public Schools","Falmouth Elementary",2.4
"Stafford County Public Schools","Ferry Farm Elementary",10.3
"Stafford County Public Schools","Grafton Village Elementary",6.4
"Stafford County Public Schools","H.H. Poole Middle",18.8
"Stafford County Public Schools","Hampton Oaks Elementary",10.9
"Stafford County Public Schools","Hartwood Elementary",5.3
"Stafford County Public Schools","Kate Waller Barrett Elementary",4.2
"Stafford County Public Schools","Margaret Brent Elementary ",4.3
"Stafford County Public Schools","Mountain View High ",11
"Stafford County Public Schools","North Stafford High",11.6
"Stafford County Public Schools","Park Ridge Elementary",10.4
"Stafford County Public Schools","Rockhill Elementary",7.3
"Stafford County Public Schools","Rocky Run Elementary",8.3
"Stafford County Public Schools","Rodney E. Thompson Middle",10.6
"Stafford County Public Schools","Shirley C. Heim Middle",9.9
"Stafford County Public Schools","Stafford Elementary",9.1
"Stafford County Public Schools","Stafford Middle",17.1
"Stafford County Public Schools","Stafford Senior High",8.1
"Stafford County Public Schools","T. Benton Gayle Middle",19.4
"Stafford County Public Schools","Widewater Elementary",7.5
"Stafford County Public Schools","Winding Creek Elementary",2.3
"Staunton City Public Schools","Arthur R. Ware Elementary",0
"Staunton City Public Schools","Bessie Weller Elementary",0
"Staunton City Public Schools","Shelburne Middle",4.5
"Staunton City Public Schools","Staunton High",4.8
"Staunton City Public Schools","Thomas C. McSwain Elementary",0
"Suffolk City Public Schools","Booker T. Washington Elementary",0
"Suffolk City Public Schools","Colonel Fred Cherry Middle",9.1
"Suffolk City Public Schools","Creekside Elementary",3.8
"Suffolk City Public Schools","Elephant's Fork Elementary",2.1
"Suffolk City Public Schools","Florence Bowser Elementary",6
"Suffolk City Public Schools","Forest Glen Middle",4.9
"Suffolk City Public Schools","Hillpoint Elementary",1.8
"Suffolk City Public Schools","John F. Kennedy Middle",5.3
"Suffolk City Public Schools","John Yeates Middle",2.1
"Suffolk City Public Schools","Kilby Shores Elementary",5.3
"Suffolk City Public Schools","King's Fork High",7.6
"Suffolk City Public Schools","King's Fork Middle",4.7
"Suffolk City Public Schools","Lakeland High",4.7
"Suffolk City Public Schools","Mack Benn Jr. Elementary",7.7
"Suffolk City Public Schools","Nansemond Parkway Elementary",2.6
"Suffolk City Public Schools","Nansemond River High",6.9
"Suffolk City Public Schools","Northern Shores Elementary",0
"Suffolk City Public Schools","Oakland Elementary",2.9
"Suffolk City Public Schools","Southwestern Elementary",2.5
"Surry County Public Schools","Luther P. Jackson Middle",7.1
"Surry County Public Schools","Surry County High",5.4
"Surry County Public Schools","Surry Elementary",10.7
"Sussex County Public Schools","Sussex Central Elementary",12.2
"Sussex County Public Schools","Sussex Central High",19
"Sussex County Public Schools","Sussex Central Middle",7.7
"Tazewell County Public Schools","Abb's Valley-Boissevain Elementary",10
"Tazewell County Public Schools","Cedar Bluff Elementary",3.6
"Tazewell County Public Schools","Dudley Primary",4.8
"Tazewell County Public Schools","Graham High",7.1
"Tazewell County Public Schools","Graham Intermediate",4.8
"Tazewell County Public Schools","Graham Middle",3.2
"Tazewell County Public Schools","Richlands Elementary",6.7
"Tazewell County Public Schools","Richlands High",8.9
"Tazewell County Public Schools","Richlands Middle",0
"Tazewell County Public Schools","Tazewell High",11.1
"Tazewell County Public Schools","Tazewell Intermediate",4.3
"Tazewell County Public Schools","Tazewell Middle",0
"Tazewell County Public Schools","Tazewell Primary",6.7
"Virginia Beach City Public Schools","Alanton Elementary",4.1
"Virginia Beach City Public Schools","Arrowhead Elementary",9.1
"Virginia Beach City Public Schools","Bayside 6th Grade Campus",7.7
"Virginia Beach City Public Schools","Bayside Elementary",4.9
"Virginia Beach City Public Schools","Bayside High",6.6
"Virginia Beach City Public Schools","Bayside Middle",7.4
"Virginia Beach City Public Schools","Birdneck Elementary",5.8
"Virginia Beach City Public Schools","Brandon Middle",5.8
"Virginia Beach City Public Schools","Brookwood Elementary",6.7
"Virginia Beach City Public Schools","Centerville Elementary",0
"Virginia Beach City Public Schools","Christopher Farms Elementary",5
"Virginia Beach City Public Schools","College Park Elementary",4.7
"Virginia Beach City Public Schools","Corporate Landing Elementary",2.1
"Virginia Beach City Public Schools","Corporate Landing Middle",4.4
"Virginia Beach City Public Schools","Creeds Elementary",3.8
"Virginia Beach City Public Schools","Diamond Springs Elementary",4.3
"Virginia Beach City Public Schools","Fairfield Elementary",2.4
"Virginia Beach City Public Schools","First Colonial High",5.5
"Virginia Beach City Public Schools","Floyd Kellam High",6
"Virginia Beach City Public Schools","Frank W. Cox High",3.7
"Virginia Beach City Public Schools","Glenwood Elementary",4.1
"Virginia Beach City Public Schools","Great Neck Middle",7.4
"Virginia Beach City Public Schools","Green Run Collegiate",2.7
"Virginia Beach City Public Schools","Green Run Elementary",11.8
"Virginia Beach City Public Schools","Green Run High",4.5
"Virginia Beach City Public Schools","Hermitage Elementary",4.7
"Virginia Beach City Public Schools","Holland Elementary",2.3
"Virginia Beach City Public Schools","Independence Middle",12
"Virginia Beach City Public Schools","Indian Lakes Elementary",2.4
"Virginia Beach City Public Schools","John B. Dey Elementary",4.1
"Virginia Beach City Public Schools","Kempsville Elementary",7.7
"Virginia Beach City Public Schools","Kempsville High",3.7
"Virginia Beach City Public Schools","Kempsville Meadows Elementary",8.6
"Virginia Beach City Public Schools","Kempsville Middle",7.9
"Virginia Beach City Public Schools","King's Grant Elementary",5
"Virginia Beach City Public Schools","Kingston Elementary",5.6
"Virginia Beach City Public Schools","Landstown Elementary",7.9
"Virginia Beach City Public Schools","Landstown High",6.4
"Virginia Beach City Public Schools","Landstown Middle",3.1
"Virginia Beach City Public Schools","Larkspur Middle",2.8
"Virginia Beach City Public Schools","Linkhorn Park Elementary",2.7
"Virginia Beach City Public Schools","Luxford Elementary",5.4
"Virginia Beach City Public Schools","Lynnhaven Elementary",5.6
"Virginia Beach City Public Schools","Lynnhaven Middle",6.4
"Virginia Beach City Public Schools","Malibu Elementary",3
"Virginia Beach City Public Schools","New Castle Elementary",5.7
"Virginia Beach City Public Schools","Newtown Elementary",5.3
"Virginia Beach City Public Schools","North Landing Elementary",3.1
"Virginia Beach City Public Schools","Ocean Lakes Elementary",5.3
"Virginia Beach City Public Schools","Ocean Lakes High",2.7
"Virginia Beach City Public Schools","Old Donation School",4.5
"Virginia Beach City Public Schools","Parkway Elementary",4.8
"Virginia Beach City Public Schools","Pembroke Elementary",5.9
"Virginia Beach City Public Schools","Pembroke Meadows Elementary",2.7
"Virginia Beach City Public Schools","Plaza Middle",4.6
"Virginia Beach City Public Schools","Point O' View Elementary",5.2
"Virginia Beach City Public Schools","Princess Anne Elementary",8.9
"Virginia Beach City Public Schools","Princess Anne High",8
"Virginia Beach City Public Schools","Princess Anne Middle",7.5
"Virginia Beach City Public Schools","Providence Elementary",0
"Virginia Beach City Public Schools","Red Mill Elementary",4.5
"Virginia Beach City Public Schools","Rosemont Elementary",10.8
"Virginia Beach City Public Schools","Rosemont Forest Elementary",3.3
"Virginia Beach City Public Schools","Salem Elementary",0
"Virginia Beach City Public Schools","Salem High",3.2
"Virginia Beach City Public Schools","Salem Middle",8.8
"Virginia Beach City Public Schools","Seatack Elementary an Achievable Dream Academy",5.7
"Virginia Beach City Public Schools","Shelton Park Elementary",8.3
"Virginia Beach City Public Schools","Strawbridge Elementary",7.5
"Virginia Beach City Public Schools","Tallwood Elementary",6.5
"Virginia Beach City Public Schools","Tallwood High",5.6
"Virginia Beach City Public Schools","Thalia Elementary",6.4
"Virginia Beach City Public Schools","Thoroughgood Elementary",2.2
"Virginia Beach City Public Schools","Three Oaks Elementary",2.1
"Virginia Beach City Public Schools","Trantwood Elementary",0
"Virginia Beach City Public Schools","Virginia Beach Middle",5.3
"Virginia Beach City Public Schools","W.T. Cooke Elementary",2.4
"Virginia Beach City Public Schools","White Oaks Elementary",4.4
"Virginia Beach City Public Schools","Williams Elementary",8.8
"Virginia Beach City Public Schools","Windsor Oaks Elementary",0
"Virginia Beach City Public Schools","Windsor Woods Elementary",5.3
"Virginia Beach City Public Schools","Woodstock Elementary",1.9
"Warren County Public Schools","A.S. Rhodes Elementary",0
"Warren County Public Schools","E. Wilson Morrison Elementary",14.3
"Warren County Public Schools","Hilda J. Barbour Elementary",2.7
"Warren County Public Schools","Leslie Fox Keyser Elementary",12.2
"Warren County Public Schools","Ressie Jeffries Elementary",9.1
"Warren County Public Schools","Skyline High",6.3
"Warren County Public Schools","Skyline Middle",10
"Warren County Public Schools","Warren County High",7.3
"Warren County Public Schools","Warren County Middle",5.4
"Washington County Public Schools","Abingdon Elementary",2.4
"Washington County Public Schools","Abingdon High",6
"Washington County Public Schools","Damascus Middle",0
"Washington County Public Schools","E.B. Stanley Middle",0
"Washington County Public Schools","Glade Spring Middle",3.2
"Washington County Public Schools","Greendale Elementary",3.2
"Washington County Public Schools","High Point Elementary",2.2
"Washington County Public Schools","Holston High",0
"Washington County Public Schools","John S. Battle High",0
"Washington County Public Schools","Meadowview Elementary",0
"Washington County Public Schools","Patrick Henry High",3
"Washington County Public Schools","Rhea Valley Elementary",3
"Washington County Public Schools","Valley Institute Elementary",0
"Washington County Public Schools","Wallace Middle",0
"Washington County Public Schools","Watauga Elementary",0
"Waynesboro City Public Schools","Berkeley Glenn Elementary ",4.2
"Waynesboro City Public Schools","Kate Collins Middle ",6.9
"Waynesboro City Public Schools","Waynesboro High ",9.4
"Waynesboro City Public Schools","Wenonah Elementary ",12.5
"Waynesboro City Public Schools","Westwood Hills Elementary ",0
"Waynesboro City Public Schools","William Perry Elementary ",0
"West Point Public Schools","West Point Elementary",0
"West Point Public Schools","West Point Middle/High",0
"Westmoreland County Public Schools","Cople Elementary",2.9
"Westmoreland County Public Schools","Montross Middle",5.9
"Westmoreland County Public Schools","Washington & Lee High",7.3
"Westmoreland County Public Schools","Washington District Elementary",2.9
"Williamsburg-James City County Public Schools","Berkeley Middle",3.6
"Williamsburg-James City County Public Schools","Clara Byrd Baker Elementary",0
"Williamsburg-James City County Public Schools","D.J. Montague Elementary",1.3
"Williamsburg-James City County Public Schools","J. Blaine Blayton Elementary",1.3
"Williamsburg-James City County Public Schools","James Blair Middle",3.9
"Williamsburg-James City County Public Schools","James River Elementary",1.4
"Williamsburg-James City County Public Schools","Jamestown High",0.8
"Williamsburg-James City County Public Schools","Lafayette High",5.3
"Williamsburg-James City County Public Schools","Laurel Lane Elementary",1.4
"Williamsburg-James City County Public Schools","Lois Hornsby Middle",0
"Williamsburg-James City County Public Schools","Matoaka Elementary",1.3
"Williamsburg-James City County Public Schools","Matthew Whaley Elementary",1.4
"Williamsburg-James City County Public Schools","Norge Elementary",1.1
"Williamsburg-James City County Public Schools","Stonehouse Elementary",1.3
"Williamsburg-James City County Public Schools","Toano Middle",1.2
"Williamsburg-James City County Public Schools","Warhill High",2.3
"Winchester City Public Schools","Daniel Morgan Intermediate",0
"Winchester City Public Schools","Daniel Morgan Middle",6.9
"Winchester City Public Schools","Frederick Douglass Elementary",9.4
"Winchester City Public Schools","Garland R. Quarles Elementary",4.8
"Winchester City Public Schools","John Handley High",4.4
"Winchester City Public Schools","John Kerr Elementary",0
"Winchester City Public Schools","Virginia Avenue Charlotte Dehart Elementary ",0
"Wise County Public Schools","Central High",4.8
"Wise County Public Schools","Coeburn Middle",6.5
"Wise County Public Schools","Coeburn Primary",2.7
"Wise County Public Schools","Eastside High",3.3
"Wise County Public Schools","J.W. Adams Combined",2.4
"Wise County Public Schools","L.F. Addington Middle",9.5
"Wise County Public Schools","St. Paul Elementary",6.5
"Wise County Public Schools","Union High",4.7
"Wise County Public Schools","Union Middle",11.8
"Wise County Public Schools","Union Primary",1.6
"Wise County Public Schools","Wise Primary",7.4
"Wythe County Public Schools","Fort Chiswell High",8.1
"Wythe County Public Schools","Fort Chiswell Middle",6.7
"Wythe County Public Schools","George Wythe High",9.1
"Wythe County Public Schools","Jackson Memorial Elementary",11.1
"Wythe County Public Schools","Max Meadows Elementary",6.3
"Wythe County Public Schools","Rural Retreat Elementary",0
"Wythe County Public Schools","Rural Retreat High",0
"Wythe County Public Schools","Rural Retreat Middle",3.8
"Wythe County Public Schools","Scott Memorial Middle",3.3
"Wythe County Public Schools","Sheffey Elementary",5.6
"Wythe County Public Schools","Speedwell Elementary",14.3
"Wythe County Public Schools","Spiller Elementary",2.1
"York County Public Schools","Bethel Manor Elementary",0
"York County Public Schools","Bruton High",7.9
"York County Public Schools","Coventry Elementary",1.9
"York County Public Schools","Dare Elementary",8.1
"York County Public Schools","Grafton Bethel Elementary",6.1
"York County Public Schools","Grafton High",4.7
"York County Public Schools","Magruder Elementary",0
"York County Public Schools","Mount Vernon Elementary ",2.4
"York County Public Schools","Queens Lake Middle",4.5
"York County Public Schools","Seaford Elementary",2.9
"York County Public Schools","Tabb Elementary",4.3
"York County Public Schools","Tabb High",0.9
"York County Public Schools","Tabb Middle",3.1
"York County Public Schools","Waller Mill Elementary",3.1
"York County Public Schools","York High",3
"York County Public Schools","Yorktown Elementary",1.9
"York County Public Schools","Yorktown Middle",2
