"Division","School","Year.Percent","Type"
"Albemarle County Public Schools","Scottsville Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",29,"Bachelor's Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",71,"Master's Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Stony Point Elementary",35,"Bachelor's Degree"
"Albemarle County Public Schools","Stony Point Elementary",61,"Master's Degree"
"Albemarle County Public Schools","Stony Point Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",41,"Bachelor's Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",56,"Master's Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Western Albemarle High",34,"Bachelor's Degree"
"Albemarle County Public Schools","Western Albemarle High",62,"Master's Degree"
"Albemarle County Public Schools","Western Albemarle High",0,"Doctoral Degree"
"Albemarle County Public Schools","Woodbrook Elementary",29,"Bachelor's Degree"
"Albemarle County Public Schools","Woodbrook Elementary",64,"Master's Degree"
"Albemarle County Public Schools","Woodbrook Elementary",3,"Doctoral Degree"
"Alexandria City Public Schools","Alexandria City High",18,"Bachelor's Degree"
"Alexandria City Public Schools","Alexandria City High",75,"Master's Degree"
"Alexandria City Public Schools","Alexandria City High",2,"Doctoral Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",19,"Bachelor's Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",79,"Master's Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",26,"Bachelor's Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",71,"Master's Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",0,"Doctoral Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",26,"Bachelor's Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",68,"Master's Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",2,"Doctoral Degree"
"Alexandria City Public Schools","Ferdinand T. Day Elementary",26,"Bachelor's Degree"
"Alexandria City Public Schools","Ferdinand T. Day Elementary",74,"Master's Degree"
"Alexandria City Public Schools","Ferdinand T. Day Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Francis C. Hammond Middle",21,"Bachelor's Degree"
"Alexandria City Public Schools","Francis C. Hammond Middle",75,"Master's Degree"
"Alexandria City Public Schools","Francis C. Hammond Middle",3,"Doctoral Degree"
"Alexandria City Public Schools","George Mason Elementary",17,"Bachelor's Degree"
"Alexandria City Public Schools","George Mason Elementary",81,"Master's Degree"
"Alexandria City Public Schools","George Mason Elementary",3,"Doctoral Degree"
"Alexandria City Public Schools","George Washington Middle",23,"Bachelor's Degree"
"Alexandria City Public Schools","George Washington Middle",75,"Master's Degree"
"Alexandria City Public Schools","George Washington Middle",1,"Doctoral Degree"
"Alexandria City Public Schools","James K. Polk Elementary",22,"Bachelor's Degree"
"Alexandria City Public Schools","James K. Polk Elementary",77,"Master's Degree"
"Alexandria City Public Schools","James K. Polk Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",29,"Bachelor's Degree"
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",65,"Master's Degree"
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",2,"Doctoral Degree"
"Alexandria City Public Schools","John Adams Elementary",18,"Bachelor's Degree"
"Alexandria City Public Schools","John Adams Elementary",79,"Master's Degree"
"Alexandria City Public Schools","John Adams Elementary",3,"Doctoral Degree"
"Alexandria City Public Schools","Lyles-Crouch Elementary",16,"Bachelor's Degree"
"Alexandria City Public Schools","Lyles-Crouch Elementary",74,"Master's Degree"
"Alexandria City Public Schools","Lyles-Crouch Elementary",11,"Doctoral Degree"
"Alexandria City Public Schools","Mount Vernon Elementary",35,"Bachelor's Degree"
"Alexandria City Public Schools","Mount Vernon Elementary",63,"Master's Degree"
"Alexandria City Public Schools","Mount Vernon Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Naomi L. Brooks Elementary",23,"Bachelor's Degree"
"Alexandria City Public Schools","Naomi L. Brooks Elementary",77,"Master's Degree"
"Alexandria City Public Schools","Naomi L. Brooks Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Patrick Henry K-8 School",30,"Bachelor's Degree"
"Alexandria City Public Schools","Patrick Henry K-8 School",67,"Master's Degree"
"Alexandria City Public Schools","Patrick Henry K-8 School",0,"Doctoral Degree"
"Alexandria City Public Schools","Samuel W. Tucker Elementary",13,"Bachelor's Degree"
"Alexandria City Public Schools","Samuel W. Tucker Elementary",84,"Master's Degree"
"Alexandria City Public Schools","Samuel W. Tucker Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","William Ramsay Elementary",25,"Bachelor's Degree"
"Alexandria City Public Schools","William Ramsay Elementary",71,"Master's Degree"
"Alexandria City Public Schools","William Ramsay Elementary",0,"Doctoral Degree"
"Alleghany County Public Schools","Alleghany High",46,"Bachelor's Degree"
"Alleghany County Public Schools","Alleghany High",54,"Master's Degree"
"Alleghany County Public Schools","Alleghany High",0,"Doctoral Degree"
"Alleghany County Public Schools","Callaghan Elementary",39,"Bachelor's Degree"
"Alleghany County Public Schools","Callaghan Elementary",57,"Master's Degree"
