"Division","School","Year.Percent","Type"
"Fairfax County Public Schools","Cherry Run Elementary",81,"Master's Degree"
"Fairfax County Public Schools","Cherry Run Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Chesterbrook Elementary",21,"Bachelor's Degree"
"Fairfax County Public Schools","Chesterbrook Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Chesterbrook Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Churchill Road Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Churchill Road Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Churchill Road Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Clearview Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Clearview Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Clearview Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Clermont Elementary",17,"Bachelor's Degree"
"Fairfax County Public Schools","Clermont Elementary",83,"Master's Degree"
"Fairfax County Public Schools","Clermont Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Coates Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Coates Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Coates Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Columbia Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Columbia Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Columbia Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Colvin Run Elementary",28,"Bachelor's Degree"
"Fairfax County Public Schools","Colvin Run Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Colvin Run Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Cooper Middle",24,"Bachelor's Degree"
"Fairfax County Public Schools","Cooper Middle",73,"Master's Degree"
"Fairfax County Public Schools","Cooper Middle",3,"Doctoral Degree"
"Fairfax County Public Schools","Crestwood Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Crestwood Elementary",72,"Master's Degree"
"Fairfax County Public Schools","Crestwood Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Crossfield Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Crossfield Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Crossfield Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Cub Run Elementary",24,"Bachelor's Degree"
"Fairfax County Public Schools","Cub Run Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Cub Run Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Cunningham Park Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Cunningham Park Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Cunningham Park Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","Daniels Run Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Daniels Run Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Daniels Run Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Deer Park Elementary",15,"Bachelor's Degree"
"Fairfax County Public Schools","Deer Park Elementary",83,"Master's Degree"
"Fairfax County Public Schools","Deer Park Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Dogwood Elementary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Dogwood Elementary",78,"Master's Degree"
"Fairfax County Public Schools","Dogwood Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Dranesville Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Dranesville Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Dranesville Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Eagle View Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Eagle View Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Eagle View Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Edison High",27,"Bachelor's Degree"
"Fairfax County Public Schools","Edison High",70,"Master's Degree"
"Fairfax County Public Schools","Edison High",2,"Doctoral Degree"
"Fairfax County Public Schools","Fairfax County Adult High",14,"Bachelor's Degree"
"Fairfax County Public Schools","Fairfax County Adult High",83,"Master's Degree"
"Fairfax County Public Schools","Fairfax County Adult High",3,"Doctoral Degree"
"Fairfax County Public Schools","Fairfax High",18,"Bachelor's Degree"
"Fairfax County Public Schools","Fairfax High",78,"Master's Degree"
"Fairfax County Public Schools","Fairfax High",2,"Doctoral Degree"
"Fairfax County Public Schools","Fairfax Villa Elementary",35,"Bachelor's Degree"
"Fairfax County Public Schools","Fairfax Villa Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Fairfax Villa Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Fairhill Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Fairhill Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Fairhill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Fairview Elementary",38,"Bachelor's Degree"
"Fairfax County Public Schools","Fairview Elementary",61,"Master's Degree"
"Fairfax County Public Schools","Fairview Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Falls Church High",19,"Bachelor's Degree"
"Fairfax County Public Schools","Falls Church High",76,"Master's Degree"
"Fairfax County Public Schools","Falls Church High",4,"Doctoral Degree"
"Fairfax County Public Schools","Flint Hill Elementary",35,"Bachelor's Degree"
"Fairfax County Public Schools","Flint Hill Elementary",65,"Master's Degree"
"Fairfax County Public Schools","Flint Hill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Floris Elementary",21,"Bachelor's Degree"
"Fairfax County Public Schools","Floris Elementary",79,"Master's Degree"
"Fairfax County Public Schools","Floris Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Forest Edge Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Forest Edge Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Forest Edge Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Forestdale Elementary",36,"Bachelor's Degree"
"Fairfax County Public Schools","Forestdale Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Forestdale Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Forestville Elementary",28,"Bachelor's Degree"
"Fairfax County Public Schools","Forestville Elementary",72,"Master's Degree"
"Fairfax County Public Schools","Forestville Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Fort Belvoir Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Fort Belvoir Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Fort Belvoir Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Fort Belvoir Upper Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Fort Belvoir Upper Elementary",57,"Master's Degree"
"Fairfax County Public Schools","Fort Belvoir Upper Elementary",6,"Doctoral Degree"
"Fairfax County Public Schools","Fort Hunt Elementary",36,"Bachelor's Degree"
"Fairfax County Public Schools","Fort Hunt Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Fort Hunt Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Fox Mill Elementary",38,"Bachelor's Degree"
"Fairfax County Public Schools","Fox Mill Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Fox Mill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Franconia Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Franconia Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Franconia Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Franklin Middle",30,"Bachelor's Degree"
"Fairfax County Public Schools","Franklin Middle",66,"Master's Degree"
"Fairfax County Public Schools","Franklin Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Freedom Hill Elementary",21,"Bachelor's Degree"
"Fairfax County Public Schools","Freedom Hill Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Freedom Hill Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","Frost Middle",17,"Bachelor's Degree"
"Fairfax County Public Schools","Frost Middle",82,"Master's Degree"
"Fairfax County Public Schools","Frost Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Garfield Elementary",13,"Bachelor's Degree"
"Fairfax County Public Schools","Garfield Elementary",88,"Master's Degree"
"Fairfax County Public Schools","Garfield Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Glasgow Middle",27,"Bachelor's Degree"
"Fairfax County Public Schools","Glasgow Middle",72,"Master's Degree"
"Fairfax County Public Schools","Glasgow Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Glen Forest Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Glen Forest Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Glen Forest Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Graham Road Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Graham Road Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Graham Road Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Great Falls Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Great Falls Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Great Falls Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Greenbriar East Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Greenbriar East Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Greenbriar East Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Greenbriar West Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Greenbriar West Elementary",65,"Master's Degree"
"Fairfax County Public Schools","Greenbriar West Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Groveton Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Groveton Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Groveton Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","Gunston Elementary",28,"Bachelor's Degree"
"Fairfax County Public Schools","Gunston Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Gunston Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Halley Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Halley Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Halley Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Haycock Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Haycock Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Haycock Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Hayfield Elementary",20,"Bachelor's Degree"
"Fairfax County Public Schools","Hayfield Elementary",80,"Master's Degree"
"Fairfax County Public Schools","Hayfield Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Hayfield Secondary",24,"Bachelor's Degree"
"Fairfax County Public Schools","Hayfield Secondary",70,"Master's Degree"
"Fairfax County Public Schools","Hayfield Secondary",3,"Doctoral Degree"
"Fairfax County Public Schools","Herndon Elementary",24,"Bachelor's Degree"
"Fairfax County Public Schools","Herndon Elementary",76,"Master's Degree"
"Fairfax County Public Schools","Herndon Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Herndon High",23,"Bachelor's Degree"
"Fairfax County Public Schools","Herndon High",75,"Master's Degree"
"Fairfax County Public Schools","Herndon High",2,"Doctoral Degree"
"Fairfax County Public Schools","Herndon Middle",33,"Bachelor's Degree"
"Fairfax County Public Schools","Herndon Middle",67,"Master's Degree"
"Fairfax County Public Schools","Herndon Middle",0,"Doctoral Degree"
"Fairfax County Public Schools","Hollin Meadows Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Hollin Meadows Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Hollin Meadows Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Holmes Middle",29,"Bachelor's Degree"
"Fairfax County Public Schools","Holmes Middle",70,"Master's Degree"
"Fairfax County Public Schools","Holmes Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Hughes Middle",24,"Bachelor's Degree"
"Fairfax County Public Schools","Hughes Middle",75,"Master's Degree"
"Fairfax County Public Schools","Hughes Middle",0,"Doctoral Degree"
"Fairfax County Public Schools","Hunt Valley Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Hunt Valley Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Hunt Valley Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",21,"Bachelor's Degree"
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",75,"Master's Degree"
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",4,"Doctoral Degree"
"Fairfax County Public Schools","Hutchison Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Hutchison Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Hutchison Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Hybla Valley Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Hybla Valley Elementary",66,"Master's Degree"
"Fairfax County Public Schools","Hybla Valley Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Irving Middle",35,"Bachelor's Degree"
"Fairfax County Public Schools","Irving Middle",63,"Master's Degree"
"Fairfax County Public Schools","Irving Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","Island Creek Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Island Creek Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Island Creek Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Jackson Middle",23,"Bachelor's Degree"
"Fairfax County Public Schools","Jackson Middle",77,"Master's Degree"
"Fairfax County Public Schools","Jackson Middle",0,"Doctoral Degree"
"Fairfax County Public Schools","Johnson Middle",21,"Bachelor's Degree"
"Fairfax County Public Schools","Johnson Middle",77,"Master's Degree"
"Fairfax County Public Schools","Johnson Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Justice High",23,"Bachelor's Degree"
"Fairfax County Public Schools","Justice High",74,"Master's Degree"
"Fairfax County Public Schools","Justice High",2,"Doctoral Degree"
"Fairfax County Public Schools","Keene Mill Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Keene Mill Elementary",75,"Master's Degree"
"Fairfax County Public Schools","Keene Mill Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Kent Gardens Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Kent Gardens Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Kent Gardens Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Key Center",15,"Bachelor's Degree"
"Fairfax County Public Schools","Key Center",77,"Master's Degree"
"Fairfax County Public Schools","Key Center",4,"Doctoral Degree"
"Fairfax County Public Schools","Key Middle",24,"Bachelor's Degree"
"Fairfax County Public Schools","Key Middle",72,"Master's Degree"
"Fairfax County Public Schools","Key Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","Kilmer Center",17,"Bachelor's Degree"
"Fairfax County Public Schools","Kilmer Center",78,"Master's Degree"
"Fairfax County Public Schools","Kilmer Center",4,"Doctoral Degree"
"Fairfax County Public Schools","Kilmer Middle",25,"Bachelor's Degree"
"Fairfax County Public Schools","Kilmer Middle",75,"Master's Degree"
"Fairfax County Public Schools","Kilmer Middle",0,"Doctoral Degree"
"Fairfax County Public Schools","Kings Glen Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Kings Glen Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Kings Glen Elementary",7,"Doctoral Degree"
"Fairfax County Public Schools","Kings Park Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Kings Park Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Kings Park Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lake Anne Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Lake Anne Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Lake Anne Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lake Braddock Secondary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Lake Braddock Secondary",73,"Master's Degree"
"Fairfax County Public Schools","Lake Braddock Secondary",1,"Doctoral Degree"
"Fairfax County Public Schools","Lane Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Lane Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Lane Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Langley High",18,"Bachelor's Degree"
"Fairfax County Public Schools","Langley High",77,"Master's Degree"
"Fairfax County Public Schools","Langley High",4,"Doctoral Degree"
"Fairfax County Public Schools","Laurel Hill Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Laurel Hill Elementary",71,"Master's Degree"
"Fairfax County Public Schools","Laurel Hill Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Laurel Ridge Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Laurel Ridge Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Laurel Ridge Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lees Corner Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Lees Corner Elementary",70,"Master's Degree"
"Fairfax County Public Schools","Lees Corner Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lemon Road Elementary",44,"Bachelor's Degree"
"Fairfax County Public Schools","Lemon Road Elementary",54,"Master's Degree"
"Fairfax County Public Schools","Lemon Road Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lewis High",21,"Bachelor's Degree"
"Fairfax County Public Schools","Lewis High",77,"Master's Degree"
"Fairfax County Public Schools","Lewis High",1,"Doctoral Degree"
"Fairfax County Public Schools","Liberty Middle",20,"Bachelor's Degree"
"Fairfax County Public Schools","Liberty Middle",77,"Master's Degree"
"Fairfax County Public Schools","Liberty Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","Little Run Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Little Run Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Little Run Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","London Towne Elementary",24,"Bachelor's Degree"
"Fairfax County Public Schools","London Towne Elementary",73,"Master's Degree"
"Fairfax County Public Schools","London Towne Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Longfellow Middle",33,"Bachelor's Degree"
"Fairfax County Public Schools","Longfellow Middle",63,"Master's Degree"
"Fairfax County Public Schools","Longfellow Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","Lorton Station Elementary",29,"Bachelor's Degree"
"Fairfax County Public Schools","Lorton Station Elementary",71,"Master's Degree"
"Fairfax County Public Schools","Lorton Station Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Lynbrook Elementary",18,"Bachelor's Degree"
"Fairfax County Public Schools","Lynbrook Elementary",82,"Master's Degree"
"Fairfax County Public Schools","Lynbrook Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Madison High",21,"Bachelor's Degree"
"Fairfax County Public Schools","Madison High",77,"Master's Degree"
"Fairfax County Public Schools","Madison High",2,"Doctoral Degree"
"Fairfax County Public Schools","Mantua Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Mantua Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Mantua Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Marshall High",23,"Bachelor's Degree"
"Fairfax County Public Schools","Marshall High",72,"Master's Degree"
"Fairfax County Public Schools","Marshall High",3,"Doctoral Degree"
"Fairfax County Public Schools","Marshall Road Elementary",28,"Bachelor's Degree"
"Fairfax County Public Schools","Marshall Road Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Marshall Road Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Mason Crest Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Mason Crest Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Mason Crest Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","McLean High",18,"Bachelor's Degree"
"Fairfax County Public Schools","McLean High",79,"Master's Degree"
"Fairfax County Public Schools","McLean High",3,"Doctoral Degree"
"Fairfax County Public Schools","McNair Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","McNair Elementary",66,"Master's Degree"
"Fairfax County Public Schools","McNair Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Mosaic Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Mosaic Elementary",72,"Master's Degree"
"Fairfax County Public Schools","Mosaic Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Mount Eagle Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Mount Eagle Elementary",67,"Master's Degree"
"Fairfax County Public Schools","Mount Eagle Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Mount Vernon High",24,"Bachelor's Degree"
"Fairfax County Public Schools","Mount Vernon High",72,"Master's Degree"
"Fairfax County Public Schools","Mount Vernon High",3,"Doctoral Degree"
"Fairfax County Public Schools","Mount Vernon Woods Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Mount Vernon Woods Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Mount Vernon Woods Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","Mountain View High",10,"Bachelor's Degree"
"Fairfax County Public Schools","Mountain View High",82,"Master's Degree"
"Fairfax County Public Schools","Mountain View High",3,"Doctoral Degree"
"Fairfax County Public Schools","Navy Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Navy Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Navy Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Newington Forest Elementary",26,"Bachelor's Degree"
"Fairfax County Public Schools","Newington Forest Elementary",74,"Master's Degree"
"Fairfax County Public Schools","Newington Forest Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","North Springfield Elementary",29,"Bachelor's Degree"
"Fairfax County Public Schools","North Springfield Elementary",71,"Master's Degree"
"Fairfax County Public Schools","North Springfield Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Oak Hill Elementary",14,"Bachelor's Degree"
"Fairfax County Public Schools","Oak Hill Elementary",85,"Master's Degree"
"Fairfax County Public Schools","Oak Hill Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Oak View Elementary",36,"Bachelor's Degree"
"Fairfax County Public Schools","Oak View Elementary",64,"Master's Degree"
"Fairfax County Public Schools","Oak View Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Oakton Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Oakton Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Oakton Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Oakton High",27,"Bachelor's Degree"
"Fairfax County Public Schools","Oakton High",68,"Master's Degree"
"Fairfax County Public Schools","Oakton High",4,"Doctoral Degree"
"Fairfax County Public Schools","Olde Creek Elementary",25,"Bachelor's Degree"
"Fairfax County Public Schools","Olde Creek Elementary",73,"Master's Degree"
"Fairfax County Public Schools","Olde Creek Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Orange Hunt Elementary",32,"Bachelor's Degree"
"Fairfax County Public Schools","Orange Hunt Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Orange Hunt Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Parklawn Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Parklawn Elementary",65,"Master's Degree"
"Fairfax County Public Schools","Parklawn Elementary",4,"Doctoral Degree"
"Fairfax County Public Schools","Pine Spring Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Pine Spring Elementary",66,"Master's Degree"
"Fairfax County Public Schools","Pine Spring Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Poe Middle",27,"Bachelor's Degree"
"Fairfax County Public Schools","Poe Middle",72,"Master's Degree"
"Fairfax County Public Schools","Poe Middle",1,"Doctoral Degree"
"Fairfax County Public Schools","Poplar Tree Elementary",35,"Bachelor's Degree"
"Fairfax County Public Schools","Poplar Tree Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Poplar Tree Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Powell Elementary",20,"Bachelor's Degree"
"Fairfax County Public Schools","Powell Elementary",80,"Master's Degree"
"Fairfax County Public Schools","Powell Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Providence Elementary",23,"Bachelor's Degree"
"Fairfax County Public Schools","Providence Elementary",77,"Master's Degree"
"Fairfax County Public Schools","Providence Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Ravensworth Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Ravensworth Elementary",62,"Master's Degree"
"Fairfax County Public Schools","Ravensworth Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Riverside Elementary",31,"Bachelor's Degree"
"Fairfax County Public Schools","Riverside Elementary",69,"Master's Degree"
"Fairfax County Public Schools","Riverside Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Robinson Secondary",22,"Bachelor's Degree"
"Fairfax County Public Schools","Robinson Secondary",75,"Master's Degree"
"Fairfax County Public Schools","Robinson Secondary",2,"Doctoral Degree"
"Fairfax County Public Schools","Rocky Run Middle",29,"Bachelor's Degree"
"Fairfax County Public Schools","Rocky Run Middle",67,"Master's Degree"
"Fairfax County Public Schools","Rocky Run Middle",3,"Doctoral Degree"
"Fairfax County Public Schools","Rolling Valley Elementary",27,"Bachelor's Degree"
"Fairfax County Public Schools","Rolling Valley Elementary",71,"Master's Degree"
"Fairfax County Public Schools","Rolling Valley Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Rose Hill Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Rose Hill Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Rose Hill Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Sandburg Middle",35,"Bachelor's Degree"
"Fairfax County Public Schools","Sandburg Middle",63,"Master's Degree"
"Fairfax County Public Schools","Sandburg Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","Sangster Elementary",16,"Bachelor's Degree"
"Fairfax County Public Schools","Sangster Elementary",83,"Master's Degree"
"Fairfax County Public Schools","Sangster Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Saratoga Elementary",33,"Bachelor's Degree"
"Fairfax County Public Schools","Saratoga Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Saratoga Elementary",3,"Doctoral Degree"
"Fairfax County Public Schools","Sherman Elementary",34,"Bachelor's Degree"
"Fairfax County Public Schools","Sherman Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Sherman Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","Shrevewood Elementary",30,"Bachelor's Degree"
"Fairfax County Public Schools","Shrevewood Elementary",68,"Master's Degree"
"Fairfax County Public Schools","Shrevewood Elementary",2,"Doctoral Degree"
"Fairfax County Public Schools","Silverbrook Elementary",36,"Bachelor's Degree"
"Fairfax County Public Schools","Silverbrook Elementary",63,"Master's Degree"
"Fairfax County Public Schools","Silverbrook Elementary",1,"Doctoral Degree"
"Fairfax County Public Schools","Sleepy Hollow Elementary",29,"Bachelor's Degree"
"Fairfax County Public Schools","Sleepy Hollow Elementary",71,"Master's Degree"
"Fairfax County Public Schools","Sleepy Hollow Elementary",0,"Doctoral Degree"
"Fairfax County Public Schools","South County High",22,"Bachelor's Degree"
"Fairfax County Public Schools","South County High",74,"Master's Degree"
"Fairfax County Public Schools","South County High",3,"Doctoral Degree"
"Fairfax County Public Schools","South County Middle",22,"Bachelor's Degree"
"Fairfax County Public Schools","South County Middle",76,"Master's Degree"
"Fairfax County Public Schools","South County Middle",2,"Doctoral Degree"
"Fairfax County Public Schools","South Lakes High",23,"Bachelor's Degree"
"Fairfax County Public Schools","South Lakes High",72,"Master's Degree"
"Fairfax County Public Schools","South Lakes High",3,"Doctoral Degree"
