"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Fairfax County Public Schools","Pine Spring Elementary",17052
"2018 - 2019","Fairfax County Public Schools","Weyanoke Elementary",17610
"2018 - 2019","Fairfax County Public Schools","Eagle View Elementary",16482
"2018 - 2019","Fairfax County Public Schools","Cunningham Park Elementary",16572
"2018 - 2019","Fairfax County Public Schools","Washington Mill Elementary",16981
"2018 - 2019","Fairfax County Public Schools","Daniels Run Elementary",16922
"2018 - 2019","Fairfax County Public Schools","Cameron Elementary",17131
"2018 - 2019","Fairfax County Public Schools","Centre Ridge Elementary",16857
"2018 - 2019","Fairfax County Public Schools","Jackson Middle",16491
"2018 - 2019","Fairfax County Public Schools","Graham Road Elementary",17143
"2018 - 2019","Fairfax County Public Schools","Annandale Terrace Elementary",17263
"2018 - 2019","Fairfax County Public Schools","Terraset Elementary",16643
"2018 - 2019","Fairfax County Public Schools","Cub Run Elementary",16441
"2018 - 2019","Fairfax County Public Schools","Fairfax Villa Elementary",16401
"2018 - 2019","Fairfax County Public Schools","Coates Elementary",16503
"2018 - 2019","Fairfax County Public Schools","Dranesville Elementary",16408
"2018 - 2019","Fairfax County Public Schools","Herndon Middle",16841
"2018 - 2019","Fairfax County Public Schools","Edison High",16242
"2018 - 2019","Fairfax County Public Schools","Herndon Elementary",16669
"2018 - 2019","Fairfax County Public Schools","Laurel Ridge Elementary",16382
"2018 - 2019","Fairfax County Public Schools","Bren Mar Park Elementary",17035
"2018 - 2019","Fairfax County Public Schools","Providence Elementary",16637
"2018 - 2019","Fairfax County Public Schools","Groveton Elementary",16743
"2018 - 2019","Fairfax County Public Schools","Belvedere Elementary",16565
"2018 - 2019","Fairfax County Public Schools","Sherman Elementary",16296
"2018 - 2019","Fairfax County Public Schools","Dogwood Elementary",16912
"2018 - 2019","Fairfax County Public Schools","Whitman Middle",16489
"2018 - 2019","Fairfax County Public Schools","Chantilly High",16092
"2018 - 2019","Fairfax County Public Schools","Forest Edge Elementary",16386
"2018 - 2019","Fairfax County Public Schools","Timber Lane Elementary",16470
"2018 - 2019","Fairfax County Public Schools","Franklin Middle",16118
"2018 - 2019","Fairfax County Public Schools","Glen Forest Elementary",16739
"2018 - 2019","Fairfax County Public Schools","Freedom Hill Elementary",16012
"2018 - 2019","Fairfax County Public Schools","West Springfield Elementary",16105
"2018 - 2019","Fairfax County Public Schools","Vienna Elementary",16128
"2018 - 2019","Fairfax County Public Schools","Gunston Elementary",16046
"2018 - 2019","Fairfax County Public Schools","Brookfield Elementary",16301
"2018 - 2019","Fairfax County Public Schools","Westlawn Elementary",16372
"2018 - 2019","Fairfax County Public Schools","Crossfield Elementary",15867
"2018 - 2019","Fairfax County Public Schools","Crestwood Elementary",16525
"2018 - 2019","Fairfax County Public Schools","Hollin Meadows Elementary",16362
"2018 - 2019","Fairfax County Public Schools","Newington Forest Elementary",15913
"2018 - 2019","Bath County Public Schools","Bath County High",18215
"2018 - 2019","Bath County Public Schools","Valley Elementary",16267
"2018 - 2019","Bath County Public Schools","Millboro Elementary",17363
"2018 - 2019","Fairfax County Public Schools","Annandale High",15847
"2018 - 2019","Fairfax County Public Schools","Braddock Elementary",16534
"2018 - 2019","Fairfax County Public Schools","Liberty Middle",15995
"2018 - 2019","Fairfax County Public Schools","Twain Middle",16047
"2018 - 2019","Fairfax County Public Schools","West Potomac High",15714
"2018 - 2019","Fairfax County Public Schools","Herndon High",15825
"2018 - 2019","Fairfax County Public Schools","Ravensworth Elementary",15829
"2018 - 2019","Fairfax County Public Schools","Hutchison Elementary",16219
"2018 - 2019","Fairfax County Public Schools","Kings Glen Elementary",15811
"2018 - 2019","Fairfax County Public Schools","Woodson High",15589
"2018 - 2019","Fairfax County Public Schools","Hybla Valley Elementary",16316
"2018 - 2019","Fairfax County Public Schools","Cardinal Forest Elementary",15608
"2018 - 2019","Fairfax County Public Schools","Sunrise Valley Elementary",15687
"2018 - 2019","Fairfax County Public Schools","South County Middle",15598
"2018 - 2019","Fairfax County Public Schools","Centreville Elementary",15698
"2018 - 2019","Fairfax County Public Schools","Rolling Valley Elementary",15574
"2018 - 2019","Fairfax County Public Schools","Kings Park Elementary",15626
"2018 - 2019","Fairfax County Public Schools","Virginia Run Elementary",15580
"2018 - 2019","Fairfax County Public Schools","South Lakes High",15536
"2018 - 2019","Fairfax County Public Schools","Fort Hunt Elementary",15597
"2018 - 2019","Fairfax County Public Schools","Hunt Valley Elementary",15495
"2018 - 2019","Fairfax County Public Schools","Lees Corner Elementary",15497
"2018 - 2019","Fairfax County Public Schools","Island Creek Elementary",15369
"2018 - 2019","Fairfax County Public Schools","Fort Belvoir Upper Elementary",15838
"2018 - 2019","Fairfax County Public Schools","London Towne Elementary",15794
"2018 - 2019","Fairfax County Public Schools","Johnson Middle",15493
"2018 - 2019","Fairfax County Public Schools","Glasgow Middle",15372
"2018 - 2019","Fairfax County Public Schools","Waples Mill Elementary",15414
"2018 - 2019","Fairfax County Public Schools","Riverside Elementary",15956
"2018 - 2019","Fairfax County Public Schools","Powell Elementary",15203
"2018 - 2019","Fairfax County Public Schools","Greenbriar East Elementary",15338
"2018 - 2019","Fairfax County Public Schools","Westfield High",15262
"2018 - 2019","Fairfax County Public Schools","Fairfax High",15263
"2018 - 2019","Fairfax County Public Schools","Fort Belvoir Elementary",15582
"2018 - 2019","Fairfax County Public Schools","Camelot Elementary",15390
"2018 - 2019","Fairfax County Public Schools","Colvin Run Elementary",15324
"2018 - 2019","Fairfax County Public Schools","Columbia Elementary",15297
"2018 - 2019","Fairfax County Public Schools","Frost Middle",15346
"2018 - 2019","Fairfax County Public Schools","Great Falls Elementary",15330
"2018 - 2019","Fairfax County Public Schools","Terra Centre Elementary",15311
"2018 - 2019","Fairfax County Public Schools","Stratford Landing Elementary",15123
"2018 - 2019","Fairfax County Public Schools","Marshall Road Elementary",15233
"2018 - 2019","Fairfax County Public Schools","Justice High",15195
"2018 - 2019","Fairfax County Public Schools","Stenwood Elementary",15151
"2018 - 2019","Fairfax County Public Schools","Kilmer Middle",15077
"2018 - 2019","Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",15049
"2018 - 2019","Fairfax County Public Schools","Lane Elementary",15138
"2018 - 2019","Fairfax County Public Schools","Canterbury Woods Elementary",15015
"2018 - 2019","Fairfax County Public Schools","Robinson Secondary",14931
"2018 - 2019","Fairfax County Public Schools","Lemon Road Elementary",15109
"2018 - 2019","Fairfax County Public Schools","Lorton Station Elementary",15344
"2018 - 2019","Fairfax County Public Schools","Archer Elementary",14890
"2018 - 2019","Fairfax County Public Schools","Marshall High",14787
"2018 - 2019","Fairfax County Public Schools","Laurel Hill Elementary",14829
"2018 - 2019","Fairfax County Public Schools","Hughes Middle",14994
"2018 - 2019","Fairfax County Public Schools","Poplar Tree Elementary",14795
"2018 - 2019","Fairfax County Public Schools","Madison High",14658
"2018 - 2019","Fairfax County Public Schools","Hayfield Secondary",14734
"2018 - 2019","Fairfax County Public Schools","Irving Middle",14741
"2018 - 2019","Fairfax County Public Schools","Oak View Elementary",14536
"2018 - 2019","Fairfax County Public Schools","Oak Hill Elementary",14662
"2018 - 2019","Fairfax County Public Schools","South County High",14499
"2018 - 2019","Fairfax County Public Schools","Longfellow Middle",14559
"2018 - 2019","Fairfax County Public Schools","Sandburg Middle",14678
"2018 - 2019","Fairfax County Public Schools","Oakton Elementary",14479
"2018 - 2019","Fairfax County Public Schools","Centreville High",14365
"2018 - 2019","Fairfax County Public Schools","Franconia Elementary",14513
"2018 - 2019","Fairfax County Public Schools","Lake Braddock Secondary",14395
"2018 - 2019","Fairfax County Public Schools","Bull Run Elementary",14441
"2018 - 2019","Fairfax County Public Schools","Shrevewood Elementary",14392
"2018 - 2019","Fairfax County Public Schools","Bonnie Brae Elementary",14384
"2018 - 2019","Fairfax County Public Schools","Waynewood Elementary",14483
"2018 - 2019","Fairfax County Public Schools","Mantua Elementary",14333
"2018 - 2019","Fairfax County Public Schools","Langley High",14266
"2018 - 2019","Fairfax County Public Schools","Carson Middle",14350
"2018 - 2019","Fairfax County Public Schools","White Oaks Elementary",14246
"2018 - 2019","Fairfax County Public Schools","Springfield Estates Elementary",14384
"2018 - 2019","Fairfax County Public Schools","Westgate Elementary",14241
"2018 - 2019","Fairfax County Public Schools","Hayfield Elementary",14234
"2018 - 2019","Fairfax County Public Schools","Greenbriar West Elementary",14199
"2018 - 2019","Fairfax County Public Schools","Rocky Run Middle",14301
"2018 - 2019","Fairfax County Public Schools","Wolftrap Elementary",14253
"2018 - 2019","Fairfax County Public Schools","Fairhill Elementary",14191
"2018 - 2019","Fairfax County Public Schools","Clermont Elementary",14178
"2018 - 2019","Fairfax County Public Schools","Fairview Elementary",14239
"2018 - 2019","Fairfax County Public Schools","Chesterbrook Elementary",14206
"2018 - 2019","Fairfax County Public Schools","Forestville Elementary",14173
"2018 - 2019","Fairfax County Public Schools","West Springfield High",13987
"2018 - 2019","Fairfax County Public Schools","Silverbrook Elementary",14167
"2018 - 2019","Fairfax County Public Schools","McLean High",13961
"2018 - 2019","Fairfax County Public Schools","Wakefield Forest Elementary",14212
"2018 - 2019","Fairfax County Public Schools","Thoreau Middle",13939
"2018 - 2019","Fairfax County Public Schools","Navy Elementary",13914
"2018 - 2019","Fairfax County Public Schools","Keene Mill Elementary",13918
"2018 - 2019","Fairfax County Public Schools","Churchill Road Elementary",13891
"2018 - 2019","Fairfax County Public Schools","Willow Springs Elementary",13770
"2018 - 2019","Fairfax County Public Schools","Flint Hill Elementary",13984
"2018 - 2019","Fairfax County Public Schools","Union Mill Elementary",13754
"2018 - 2019","Fairfax County Public Schools","Spring Hill Elementary",13890
"2018 - 2019","Fairfax County Public Schools","Mosaic Elementary",13774
"2018 - 2019","Fairfax County Public Schools","Orange Hunt Elementary",13749
"2018 - 2019","Fairfax County Public Schools","Floris Elementary",13696
"2018 - 2019","Fairfax County Public Schools","Cooper Middle",13660
"2018 - 2019","Fairfax County Public Schools","Sangster Elementary",13535
"2018 - 2019","Fairfax County Public Schools","Kent Gardens Elementary",13475
"2018 - 2019","Fairfax County Public Schools","McNair Elementary",13319
"2018 - 2019","Fairfax County Public Schools","Oakton High",13212
"2018 - 2019","Fairfax County Public Schools","Westbriar Elementary",12867
"2018 - 2019","Fairfax County Public Schools","Haycock Elementary",12920
"2018 - 2019","Richmond City Public Schools","Huguenot High",14005
"2018 - 2019","Richmond City Public Schools","George Wythe High",14376
"2018 - 2019","Richmond City Public Schools","Armstrong High ",17366
"2018 - 2019","Richmond City Public Schools","River City Middle",15103
"2018 - 2019","Richmond City Public Schools","Broad Rock Elementary",12128
"2018 - 2019","Richmond City Public Schools","Thomas C. Boushall Middle",14297
"2018 - 2019","Richmond City Public Schools","Lucille M. Brown Middle",13550
"2018 - 2019","Richmond City Public Schools","John Marshall High",18127
"2018 - 2019","Richmond City Public Schools","Martin Luther King Jr. Middle ",14751
"2018 - 2019","Richmond City Public Schools","Oak Grove/Bellemeade Elementary",12888
"2018 - 2019","Richmond City Public Schools","G.H. Reid Elementary",12878
"2018 - 2019","Richmond City Public Schools","Miles Jones Elementary",13308
"2018 - 2019","Richmond City Public Schools","Henry Marsh III Elementary",9658
"2018 - 2019","Richmond City Public Schools","Thomas Jefferson High",14159
"2018 - 2019","Richmond City Public Schools","Cardinal Elementary",12205
"2018 - 2019","Richmond City Public Schools","Richmond Alternative",7202
"2018 - 2019","Richmond City Public Schools","Blackwell Elementary",19605
"2018 - 2019","Richmond City Public Schools","Linwood Holton Elementary",12667
"2018 - 2019","Richmond City Public Schools","Albert Hill Middle",13749
"2018 - 2019","Richmond City Public Schools","J.L. Francis Elementary",12152
"2018 - 2019","Richmond City Public Schools","Mary Munford Elementary",13696
"2018 - 2019","Richmond City Public Schools","Fairfield Court Elementary",14466
"2018 - 2019","Richmond City Public Schools","George W. Carver Elementary",14991
"2018 - 2019","Richmond City Public Schools","Henderson Middle",16531
"2018 - 2019","Richmond City Public Schools","William Fox Elementary",12920
"2018 - 2019","Richmond City Public Schools","Woodville Elementary",14540
"2018 - 2019","Richmond City Public Schools","Binford Middle",14811
"2018 - 2019","Richmond City Public Schools","Chimborazo Elementary",14720
"2018 - 2019","Richmond City Public Schools","Franklin Military Academy",15653
"2018 - 2019","Richmond City Public Schools","Elizabeth D. Redd Elementary",14026
"2018 - 2019","Richmond City Public Schools","Westover Hills Elementary",13927
"2018 - 2019","Richmond City Public Schools","Southampton Elementary",13054
"2018 - 2019","Richmond City Public Schools","Overby-Sheppard Elementary",13935
"2018 - 2019","Richmond City Public Schools","Patrick Henry School Of Science And Arts",15444
"2018 - 2019","Richmond City Public Schools","Ginter Park Elementary",17511
"2018 - 2019","Richmond City Public Schools","Barack Obama Elementary",15809
"2018 - 2019","Richmond City Public Schools","Bellevue Elementary",18565
"2018 - 2019","Richmond City Public Schools","J.B. Fisher Elementary",14985
"2018 - 2019","Richmond City Public Schools","John B. Cary Elementary",15131
"2018 - 2019","Richmond City Public Schools","Swansboro Elementary",16636
"2018 - 2019","Richmond City Public Schools","Richmond Community High",15063
"2018 - 2019","Richmond City Public Schools","Open High",14128
"2018 - 2019","Richmond City Public Schools","Amelia Street Special Education",73715
"2018 - 2019","Richmond City Public Schools","Richmond Career Education and Employment Charter School",27802
"2018 - 2019","Charlotte County Public Schools","Randolph-Henry High",13458
"2018 - 2019","Charlotte County Public Schools","Eureka Elementary",10953
"2018 - 2019","Charlotte County Public Schools","Central Middle",12184
"2018 - 2019","Charlotte County Public Schools","Phenix Elementary",12948
"2018 - 2019","Charlotte County Public Schools","Bacon District Elementary",16771
"2018 - 2019","Alexandria City Public Schools","Alexandria City High",18301
"2018 - 2019","Alexandria City Public Schools","Francis C. Hammond Middle",18670
"2018 - 2019","Alexandria City Public Schools","George Washington Middle",16666
"2018 - 2019","Alexandria City Public Schools","John Adams Elementary",20645
"2018 - 2019","Alexandria City Public Schools","Mount Vernon Elementary",16194
"2018 - 2019","Alexandria City Public Schools","James K. Polk Elementary",17410
"2018 - 2019","Alexandria City Public Schools","Samuel W. Tucker Elementary",17017
"2018 - 2019","Alexandria City Public Schools","William Ramsay Elementary",18257
"2018 - 2019","Alexandria City Public Schools","Patrick Henry K-8 School",15365
"2018 - 2019","Alexandria City Public Schools","Jefferson-Houston PK-8 School",18346
"2018 - 2019","Alexandria City Public Schools","Douglas Macarthur Elementary",15661
"2018 - 2019","Alexandria City Public Schools","Charles Barrett Elementary",17166
"2018 - 2019","Alexandria City Public Schools","George Mason Elementary",17973
"2018 - 2019","Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",23030
"2018 - 2019","Alexandria City Public Schools","Lyles-Crouch Elementary",17443
"2018 - 2019","Alexandria City Public Schools","Ferdinand T. Day Elementary",19014
"2018 - 2019","Alexandria City Public Schools","Naomi L. Brooks Elementary",17556
"2018 - 2019","Brunswick County Public Schools","Brunswick High",13837
"2018 - 2019","Brunswick County Public Schools","James S. Russell Middle",13415
"2018 - 2019","Brunswick County Public Schools","Totaro Elementary",13408
"2018 - 2019","Brunswick County Public Schools","Meherrin Powellton Elementary",12407
"2018 - 2019","Brunswick County Public Schools","Red Oak-Sturgeon Elementary",11059
"2018 - 2019","Highland County Public Schools","Highland High",18859
"2018 - 2019","Highland County Public Schools","Highland Elementary",18842
"2018 - 2019","King and Queen County Public Schools","Lawson-Marriott Elementary",11894
"2018 - 2019","King and Queen County Public Schools","King & Queen Elementary",11744
"2018 - 2019","King and Queen County Public Schools","Central High",16446
"2018 - 2019","Mecklenburg County Public Schools","Park View High",11826
"2018 - 2019","Mecklenburg County Public Schools","South Hill Elementary",11303
"2018 - 2019","Mecklenburg County Public Schools","Bluestone  High",13122
"2018 - 2019","Mecklenburg County Public Schools","Park View Middle",11635
"2018 - 2019","Mecklenburg County Public Schools","Clarksville Elementary",11622
"2018 - 2019","Mecklenburg County Public Schools","Chase City Elementary",13554
"2018 - 2019","Mecklenburg County Public Schools","Bluestone Middle",12767
"2018 - 2019","Mecklenburg County Public Schools","LaCrosse Elementary ",11368
"2018 - 2019","Lancaster County Public Schools","Lancaster High",13774
"2018 - 2019","Lancaster County Public Schools","Lancaster Primary",12765
"2018 - 2019","Lancaster County Public Schools","Lancaster Middle",12989
"2018 - 2019","Buchanan County Public Schools","Riverview Elementary/Middle",10250
"2018 - 2019","Buchanan County Public Schools","Hurley Elementary/Middle",10507
"2018 - 2019","Buchanan County Public Schools","Grundy High",10914
"2018 - 2019","Buchanan County Public Schools","Twin Valley Elementary/Middle",10525
"2018 - 2019","Buchanan County Public Schools","Hurley High",11170
"2018 - 2019","Buchanan County Public Schools","Twin Valley High",11359
"2018 - 2019","Buchanan County Public Schools","Council Elementary/Middle",11209
"2018 - 2019","Buchanan County Public Schools","Council High ",12722
"2018 - 2019","Martinsville City Public Schools","Martinsville High",13249
"2018 - 2019","Martinsville City Public Schools","Albert Harris Elementary",12353
"2018 - 2019","Martinsville City Public Schools","Martinsville Middle",12472
"2018 - 2019","Martinsville City Public Schools","Patrick Henry Elementary",11284
"2018 - 2019","Northumberland County Public Schools","Northumberland Elementary",11856
"2018 - 2019","Northumberland County Public Schools","Northumberland High",12996
"2018 - 2019","Northumberland County Public Schools","Northumberland Middle",14025
"2018 - 2019","Dickenson County Public Schools","Ridgeview High",12396
"2018 - 2019","Dickenson County Public Schools","Ridgeview Middle",10333
"2018 - 2019","Dickenson County Public Schools","Sandlick Elementary",10464
"2018 - 2019","Dickenson County Public Schools","Clintwood Elementary",10022
"2018 - 2019","Dickenson County Public Schools","Ervinton Elementary",13832
"2018 - 2019","Williamsburg-James City County Public Schools","Warhill High",10882
"2018 - 2019","Williamsburg-James City County Public Schools","Jamestown High",11213
"2018 - 2019","Williamsburg-James City County Public Schools","Lafayette High",12695
"2018 - 2019","Williamsburg-James City County Public Schools","Lois Hornsby Middle",11445
"2018 - 2019","Williamsburg-James City County Public Schools","Stonehouse Elementary",11589
"2018 - 2019","Williamsburg-James City County Public Schools","Toano Middle",11962
"2018 - 2019","Williamsburg-James City County Public Schools","Matoaka Elementary",11292
"2018 - 2019","Williamsburg-James City County Public Schools","Berkeley Middle",13945
