"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Petersburg City Public Schools","Vernon Johns Middle",11595
"2018 - 2019","Petersburg City Public Schools","Walnut Hill Elementary",10357
"2018 - 2019","Petersburg City Public Schools","Pleasants Lane Elementary",10966
"2018 - 2019","Petersburg City Public Schools","Cool Spring Elementary",10728
"2018 - 2019","Petersburg City Public Schools","Lakemont Elementary",11860
"2018 - 2019","Chesterfield County Public Schools","Thomas Dale High",9967
"2018 - 2019","Chesterfield County Public Schools","Manchester High",10563
"2018 - 2019","Chesterfield County Public Schools","Cosby High",9364
"2018 - 2019","Chesterfield County Public Schools","James River High",9789
"2018 - 2019","Chesterfield County Public Schools","Lloyd C. Bird High",10144
"2018 - 2019","Chesterfield County Public Schools","Clover Hill High",9792
"2018 - 2019","Chesterfield County Public Schools","Meadowbrook High",9988
"2018 - 2019","Chesterfield County Public Schools","Midlothian High",9724
"2018 - 2019","Chesterfield County Public Schools","Matoaca High",10517
"2018 - 2019","Chesterfield County Public Schools","Tomahawk Creek Middle",9880
"2018 - 2019","Chesterfield County Public Schools","Monacan High",10250
"2018 - 2019","Chesterfield County Public Schools","Bailey Bridge Middle",9578
"2018 - 2019","Chesterfield County Public Schools","Falling Creek Middle",10009
"2018 - 2019","Chesterfield County Public Schools","Midlothian Middle",9679
"2018 - 2019","Chesterfield County Public Schools","Robious Middle",9965
"2018 - 2019","Chesterfield County Public Schools","Elizabeth Davis Middle",9730
"2018 - 2019","Chesterfield County Public Schools","Manchester Middle",10090
"2018 - 2019","Chesterfield County Public Schools","J.B. Watkins Elementary",8790
"2018 - 2019","Chesterfield County Public Schools","Swift Creek Middle",10618
"2018 - 2019","Chesterfield County Public Schools","Providence Middle",9896
"2018 - 2019","Chesterfield County Public Schools","Carver Middle",10255
"2018 - 2019","Chesterfield County Public Schools","Matoaca Middle",10651
"2018 - 2019","Chesterfield County Public Schools","Winterpock Elementary",8461
"2018 - 2019","Chesterfield County Public Schools","Evergreen Elementary",9422
"2018 - 2019","Chesterfield County Public Schools","Salem Church Middle",10574
"2018 - 2019","Chesterfield County Public Schools","Elizabeth Scott Elementary",8950
"2018 - 2019","Chesterfield County Public Schools","Falling Creek Elementary",10258
"2018 - 2019","Chesterfield County Public Schools","Spring Run Elementary",9313
"2018 - 2019","Chesterfield County Public Schools","J.A. Chalkley Elementary",10255
"2018 - 2019","Chesterfield County Public Schools","O.B. Gates Elementary",12043
"2018 - 2019","Chesterfield County Public Schools","J.G. Hening Elementary",9457
"2018 - 2019","Chesterfield County Public Schools","Swift Creek Elementary",9132
"2018 - 2019","Chesterfield County Public Schools","Beulah Elementary",9063
"2018 - 2019","Chesterfield County Public Schools","C.E. Curtis Elementary",9799
"2018 - 2019","Chesterfield County Public Schools","Grange Hall Elementary",8538
"2018 - 2019","Chesterfield County Public Schools","Jacobs Road Elementary",9807
"2018 - 2019","Chesterfield County Public Schools","Woolridge Elementary",8810
"2018 - 2019","Chesterfield County Public Schools","Hopkins Road Elementary",10013
"2018 - 2019","Chesterfield County Public Schools","A.M. Davis Elementary",10007
"2018 - 2019","Chesterfield County Public Schools","Marguerite F. Christian Elementary",9851
"2018 - 2019","Chesterfield County Public Schools","Ettrick Elementary",12091
"2018 - 2019","Chesterfield County Public Schools","Ecoff Elementary",9703
"2018 - 2019","Chesterfield County Public Schools","Clover Hill Elementary",9124
"2018 - 2019","Chesterfield County Public Schools","Bensley Elementary",10981
"2018 - 2019","Chesterfield County Public Schools","Thelma Crenshaw Elementary",9875
"2018 - 2019","Chesterfield County Public Schools","C.C. Wells Elementary",9705
"2018 - 2019","Chesterfield County Public Schools","Providence Elementary",10024
"2018 - 2019","Chesterfield County Public Schools","Alberta Smith Elementary",10763
"2018 - 2019","Chesterfield County Public Schools","Bettie Weaver Elementary",9381
"2018 - 2019","Chesterfield County Public Schools","Salem Church Elementary",10320
"2018 - 2019","Chesterfield County Public Schools","Robious Elementary",9510
"2018 - 2019","Chesterfield County Public Schools","Crestwood Elementary",10428
"2018 - 2019","Chesterfield County Public Schools","Bellwood Elementary",11027
"2018 - 2019","Chesterfield County Public Schools","Reams Road Elementary",11240
"2018 - 2019","Chesterfield County Public Schools","Bon Air Elementary",9304
"2018 - 2019","Chesterfield County Public Schools","W.W. Gordon Elementary",9810
"2018 - 2019","Chesterfield County Public Schools","Harrowgate Elementary",11261
"2018 - 2019","Chesterfield County Public Schools","Greenfield Elementary",10132
"2018 - 2019","Chesterfield County Public Schools","Enon Elementary",10456
"2018 - 2019","Chesterfield County Public Schools","Matoaca Elementary",10510
"2018 - 2019","Chesterfield County Public Schools","Carver College and Career Academy",15916
"2018 - 2019","Goochland County Public Schools","Goochland High",12055
"2018 - 2019","Goochland County Public Schools","Goochland Middle",10751
"2018 - 2019","Goochland County Public Schools","Randolph Elementary",11355
"2018 - 2019","Goochland County Public Schools","Goochland Elementary",12672
"2018 - 2019","Goochland County Public Schools","Byrd Elementary",13243
"2018 - 2019","Fredericksburg City Public Schools","James Monroe High",12606
"2018 - 2019","Fredericksburg City Public Schools","Hugh Mercer Elementary",13545
"2018 - 2019","Fredericksburg City Public Schools","Lafayette Elementary",14682
"2018 - 2019","Fredericksburg City Public Schools","Walker-Grant Middle",11780
"2018 - 2019","Clarke County Public Schools","Clarke County High",11710
"2018 - 2019","Clarke County Public Schools","D.G. Cooley Elementary",11121
"2018 - 2019","Clarke County Public Schools","Johnson-Williams Middle",11165
"2018 - 2019","Clarke County Public Schools","Boyce Elementary",12676
"2018 - 2019","Lynchburg City Public Schools","E.C. Glass High ",10570
"2018 - 2019","Lynchburg City Public Schools","Heritage High",11049
"2018 - 2019","Lynchburg City Public Schools","Paul Laurence Dunbar Middle for Innovation ",10169
"2018 - 2019","Lynchburg City Public Schools","Linkhorne Middle",11284
"2018 - 2019","Nottoway County Public Schools","Nottoway High",10318
"2018 - 2019","Lynchburg City Public Schools","Sandusky Middle",11272
"2018 - 2019","Lynchburg City Public Schools","Robert S. Payne Elementary",10676
"2018 - 2019","Lynchburg City Public Schools","Heritage Elementary",10381
"2018 - 2019","Lynchburg City Public Schools","Sheffield Elementary",13397
"2018 - 2019","Lynchburg City Public Schools","Bedford Hills Elementary",11500
"2018 - 2019","Lynchburg City Public Schools","Linkhorne Elementary",11514
"2018 - 2019","Lynchburg City Public Schools","Perrymont Elementary",12885
"2018 - 2019","Nottoway County Public Schools","Blackstone Primary",9437
"2018 - 2019","Lynchburg City Public Schools","Sandusky Elementary",10608
"2018 - 2019","Nottoway County Public Schools","Crewe Primary",9790
"2018 - 2019","Lynchburg City Public Schools","Paul Munro Elementary",10110
"2018 - 2019","Nottoway County Public Schools","Nottoway Middle",11062
"2018 - 2019","Nottoway County Public Schools","Nottoway Intermediate",10118
"2018 - 2019","Lynchburg City Public Schools","T.C. Miller Elementary for Innovation",12998
"2018 - 2019","Lynchburg City Public Schools","William M. Bass Elementary",12694
"2018 - 2019","Lynchburg City Public Schools","Dearington Elementary/Innovation ",13713
"2018 - 2019","Grayson County Public Schools","Grayson County High",11002
"2018 - 2019","Grayson County Public Schools","Fries Elementary",10908
"2018 - 2019","Grayson County Public Schools","Independence Middle",10212
"2018 - 2019","Grayson County Public Schools","Independence Elementary",10061
"2018 - 2019","Grayson County Public Schools","Fairview Elementary",14710
"2018 - 2019","Grayson County Public Schools","Grayson Highlands",12156
"2018 - 2019","Frederick County Public Schools","Sherando High",12946
"2018 - 2019","Frederick County Public Schools","Millbrook High",12180
"2018 - 2019","Frederick County Public Schools","James Wood High",12743
"2018 - 2019","Frederick County Public Schools","Admiral Richard E. Byrd Middle",10913
"2018 - 2019","Frederick County Public Schools","James Wood Middle",11120
"2018 - 2019","Frederick County Public Schools","Frederick County Middle",12656
"2018 - 2019","Frederick County Public Schools","Redbud Run Elementary",11826
"2018 - 2019","Frederick County Public Schools","Robert E. Aylor Middle",12920
"2018 - 2019","Frederick County Public Schools","Stonewall Elementary",11594
"2018 - 2019","Frederick County Public Schools","Greenwood Mill Elementary",10960
"2018 - 2019","Frederick County Public Schools","Armel Elementary",10435
"2018 - 2019","Frederick County Public Schools","Bass-Hoover Elementary",10767
"2018 - 2019","Frederick County Public Schools","Evendale Elementary",12446
"2018 - 2019","Frederick County Public Schools","Middletown Elementary",12710
"2018 - 2019","Frederick County Public Schools","Apple Pie Ridge Elementary",13069
"2018 - 2019","Frederick County Public Schools","Gainesboro Elementary",12798
"2018 - 2019","Frederick County Public Schools","Orchard View Elementary",11562
"2018 - 2019","Frederick County Public Schools","Indian Hollow Elementary",12201
"2018 - 2019","Winchester City Public Schools","John Handley High",13462
"2018 - 2019","Winchester City Public Schools","Daniel Morgan Middle",13515
"2018 - 2019","Winchester City Public Schools","Daniel Morgan Intermediate",10921
"2018 - 2019","Winchester City Public Schools","John Kerr Elementary",12225
"2018 - 2019","Winchester City Public Schools","Virginia Avenue Charlotte Dehart Elementary ",12831
"2018 - 2019","Winchester City Public Schools","Garland R. Quarles Elementary",13261
"2018 - 2019","Winchester City Public Schools","Frederick Douglass Elementary",13954
"2018 - 2019","Orange County Public Schools","Orange County High ",9834
"2018 - 2019","Orange County Public Schools","Orange Elementary",9414
"2018 - 2019","Orange County Public Schools","Locust Grove Middle",10108
"2018 - 2019","Orange County Public Schools","Prospect Heights Middle",10732
"2018 - 2019","Orange County Public Schools","Locust Grove Primary",9726
"2018 - 2019","Orange County Public Schools","Locust Grove Elementary",10780
"2018 - 2019","Orange County Public Schools","Gordon-Barbour Elementary",10468
"2018 - 2019","Orange County Public Schools","Unionville Elementary",11708
"2018 - 2019","Orange County Public Schools","Lightfoot Elementary",11458
"2018 - 2019","Hopewell City Public Schools","Hopewell High",12072
"2018 - 2019","Hopewell City Public Schools","Carter G. Woodson Middle",11730
"2018 - 2019","Hopewell City Public Schools","Patrick Copeland Elementary",11706
"2018 - 2019","Hopewell City Public Schools","Harry E. James Elementary",12770
"2018 - 2019","Hopewell City Public Schools","Dupont Elementary",11518
"2018 - 2019","Danville City Public Schools","George Washington High",12849
"2018 - 2019","Danville City Public Schools","O. Trent Bonner Middle",11588
"2018 - 2019","Danville City Public Schools","Edwin A. Gibson Elementary",11734
"2018 - 2019","Danville City Public Schools","Westwood Middle",11597
"2018 - 2019","Danville City Public Schools","Schoolfield Elementary",12463
"2018 - 2019","Danville City Public Schools","Park Avenue Elementary",11941
"2018 - 2019","Danville City Public Schools","G.L.H. Johnson Elementary",13004
"2018 - 2019","Danville City Public Schools","Woodberry Hills Elementary",14751
"2018 - 2019","Danville City Public Schools","Galileo Magnet High",12038
"2018 - 2019","Danville City Public Schools","Forest Hills Elementary",12207
"2018 - 2019","Rockingham County Public Schools","Turner Ashby High",11086
"2018 - 2019","Rockingham County Public Schools","Broadway High",10412
"2018 - 2019","Rockingham County Public Schools","Spotswood High",10381
"2018 - 2019","Rockingham County Public Schools","Montevideo Middle",9962
"2018 - 2019","Rockingham County Public Schools","East Rockingham High",10792
"2018 - 2019","Rockingham County Public Schools","J. Frank Hillyard Middle",10729
"2018 - 2019","Rockingham County Public Schools","Wilbur S. Pence Middle",10368
"2018 - 2019","Rockingham County Public Schools","Cub Run Elementary",10349
"2018 - 2019","Rockingham County Public Schools","John W. Wayland Elementary",9958
"2018 - 2019","Rockingham County Public Schools","John C. Myers Elementary",11273
"2018 - 2019","Rockingham County Public Schools","Mountain View Elementary",11785
"2018 - 2019","Rockingham County Public Schools","Peak View Elementary",10759
"2018 - 2019","Rockingham County Public Schools","Elkton Middle",10530
"2018 - 2019","Rockingham County Public Schools","Plains Elementary",11074
"2018 - 2019","Rockingham County Public Schools","River Bend Elementary",11378
"2018 - 2019","Rockingham County Public Schools","Elkton Elementary",11504
"2018 - 2019","Rockingham County Public Schools","South River Elementary",11904
"2018 - 2019","Rockingham County Public Schools","Lacey Spring Elementary",14386
"2018 - 2019","Rockingham County Public Schools","McGaheysville Elementary",10800
"2018 - 2019","Rockingham County Public Schools","Pleasant Valley Elementary",12752
"2018 - 2019","Rockingham County Public Schools","Linville-Edom Elementary",11659
"2018 - 2019","Rockingham County Public Schools","Fulks Run Elementary",14502
"2018 - 2019","Rockingham County Public Schools","Ottobine Elementary",12136
"2018 - 2019","Isle of Wight County Public Schools","Smithfield High",10287
"2018 - 2019","Isle of Wight County Public Schools","Westside Elementary",10020
"2018 - 2019","Isle of Wight County Public Schools","Carrollton Elementary",9349
"2018 - 2019","Isle of Wight County Public Schools","Smithfield Middle",10404
"2018 - 2019","Isle of Wight County Public Schools","Windsor Elementary",10272
"2018 - 2019","Isle of Wight County Public Schools","Windsor High",11560
"2018 - 2019","Isle of Wight County Public Schools","Hardy Elementary",10396
"2018 - 2019","Isle of Wight County Public Schools","Georgie D. Tyler Middle",9974
"2018 - 2019","Isle of Wight County Public Schools","Carrsville Elementary",11819
"2018 - 2019","Henry County Public Schools","Magna Vista High",9466
"2018 - 2019","Henry County Public Schools","Bassett High",9188
"2018 - 2019","Henry County Public Schools","Fieldale-Collinsville Middle ",9028
"2018 - 2019","Henry County Public Schools","Laurel Park Middle ",8985
"2018 - 2019","Henry County Public Schools","Meadow View Elementary",9814
"2018 - 2019","Henry County Public Schools","G.W. Carver Elementary ",9329
"2018 - 2019","Henry County Public Schools","Drewry Mason Elementary",9117
"2018 - 2019","Henry County Public Schools","Axton Elementary",8838
"2018 - 2019","Henry County Public Schools","Campbell Court Elementary",10650
"2018 - 2019","Henry County Public Schools","Mount Olivet Elementary ",9601
"2018 - 2019","Henry County Public Schools","Stanleytown Elementary",9645
"2018 - 2019","Henry County Public Schools","Rich Acres Elementary",10182
"2018 - 2019","Henry County Public Schools","Sanville Elementary",10524
"2018 - 2019","Gloucester County Public Schools","Gloucester High",10045
"2018 - 2019","Gloucester County Public Schools","Botetourt Elementary",11116
"2018 - 2019","Gloucester County Public Schools","Peasley Middle",11291
"2018 - 2019","Gloucester County Public Schools","Abingdon Elementary",10592
"2018 - 2019","Gloucester County Public Schools","Page Middle",11110
"2018 - 2019","Gloucester County Public Schools","Bethel Elementary",11004
"2018 - 2019","Gloucester County Public Schools","Achilles Elementary",10969
"2018 - 2019","Gloucester County Public Schools","Petsworth Elementary",11794
"2018 - 2019","Spotsylvania County Public Schools","Massaponax High",9975
"2018 - 2019","Spotsylvania County Public Schools","Riverbend High ",9487
"2018 - 2019","Spotsylvania County Public Schools","Chancellor High",10672
"2018 - 2019","Spotsylvania County Public Schools","Courtland High",10738
"2018 - 2019","Spotsylvania County Public Schools","Spotsylvania High",10952
"2018 - 2019","Spotsylvania County Public Schools","Spotsylvania Middle",10080
"2018 - 2019","Spotsylvania County Public Schools","Parkside Elementary",10503
"2018 - 2019","Spotsylvania County Public Schools","Harrison Road Elementary",11047
"2018 - 2019","Spotsylvania County Public Schools","Freedom Middle",10487
"2018 - 2019","Spotsylvania County Public Schools","Battlefield Middle",10239
"2018 - 2019","Spotsylvania County Public Schools","Chancellor Middle",10104
"2018 - 2019","Spotsylvania County Public Schools","Cedar Forest Elementary",10998
"2018 - 2019","Spotsylvania County Public Schools","Courthouse Road Elementary",10181
"2018 - 2019","Spotsylvania County Public Schools","Ni River Middle",11262
"2018 - 2019","Spotsylvania County Public Schools","Thornburg Middle",10910
"2018 - 2019","Spotsylvania County Public Schools","Smith Station Elementary",12028
"2018 - 2019","Spotsylvania County Public Schools","Post Oak Middle",11365
"2018 - 2019","Spotsylvania County Public Schools","Wilderness Elementary",11165
"2018 - 2019","Spotsylvania County Public Schools","Brock Road Elementary",11516
"2018 - 2019","Spotsylvania County Public Schools","Lee Hill Elementary",10996
"2018 - 2019","Spotsylvania County Public Schools","Riverview Elementary",11594
"2018 - 2019","Spotsylvania County Public Schools","Battlefield Elementary",11053
"2018 - 2019","Spotsylvania County Public Schools","Salem Elementary",11099
"2018 - 2019","Spotsylvania County Public Schools","Courtland Elementary",12530
"2018 - 2019","Spotsylvania County Public Schools","Spotswood Elementary",11402
"2018 - 2019","Spotsylvania County Public Schools","Spotsylvania Elementary",10918
"2018 - 2019","Spotsylvania County Public Schools","Livingston Elementary",12009
"2018 - 2019","Spotsylvania County Public Schools","Chancellor Elementary",10394
"2018 - 2019","Spotsylvania County Public Schools","Berkeley Elementary",12962
"2018 - 2019","Russell County Public Schools","Honaker Elementary",9804
"2018 - 2019","Russell County Public Schools","Lebanon High",9386
"2018 - 2019","Russell County Public Schools","Honaker High",9695
"2018 - 2019","Russell County Public Schools","Castlewood Elementary",9505
"2018 - 2019","Russell County Public Schools","Castlewood High",10149
"2018 - 2019","Russell County Public Schools","Lebanon Primary",11486
"2018 - 2019","Russell County Public Schools","Lebanon Middle",9198
"2018 - 2019","Russell County Public Schools","Lebanon Elementary",9594
"2018 - 2019","Russell County Public Schools","Swords Creek Elementary",10448
"2018 - 2019","Russell County Public Schools","Belfast Elementary",10088
"2018 - 2019","Russell County Public Schools","Copper Creek Elementary",9667
"2018 - 2019","Westmoreland County Public Schools","Washington & Lee High",12356
"2018 - 2019","Westmoreland County Public Schools","Cople Elementary",13826
"2018 - 2019","Westmoreland County Public Schools","Washington District Elementary",12737
"2018 - 2019","Westmoreland County Public Schools","Montross Middle",13673
"2018 - 2019","Suffolk City Public Schools","Nansemond River High",10286
"2018 - 2019","Suffolk City Public Schools","King's Fork High",10513
"2018 - 2019","Suffolk City Public Schools","Lakeland High",10985
"2018 - 2019","Suffolk City Public Schools","King's Fork Middle",10753
"2018 - 2019","Suffolk City Public Schools","Northern Shores Elementary",9105
"2018 - 2019","Suffolk City Public Schools","Hillpoint Elementary",9645
"2018 - 2019","Suffolk City Public Schools","Creekside Elementary",9234
"2018 - 2019","Suffolk City Public Schools","Colonel Fred Cherry Middle",9306
"2018 - 2019","Suffolk City Public Schools","Florence Bowser Elementary",8731
"2018 - 2019","Suffolk City Public Schools","Mack Benn Jr. Elementary",10848
"2018 - 2019","Suffolk City Public Schools","John F. Kennedy Middle",11371
"2018 - 2019","Suffolk City Public Schools","Elephant's Fork Elementary",10806
"2018 - 2019","Suffolk City Public Schools","John Yeates Middle",11739
"2018 - 2019","Suffolk City Public Schools","Nansemond Parkway Elementary",11156
"2018 - 2019","Suffolk City Public Schools","Southwestern Elementary",8867
"2018 - 2019","Suffolk City Public Schools","Kilby Shores Elementary",10446
"2018 - 2019","Suffolk City Public Schools","Booker T. Washington Elementary",13267
"2018 - 2019","Suffolk City Public Schools","Oakland Elementary",10291
"2018 - 2019","Suffolk City Public Schools","Forest Glen Middle",10391
"2018 - 2019","Pulaski County Public Schools","Pulaski County Senior High",11518
"2018 - 2019","Pulaski County Public Schools","Pulaski Elementary ",9526
"2018 - 2019","Pulaski County Public Schools","Dublin Elementary",10564
"2018 - 2019","Pulaski County Public Schools","Critzer Elementary",10919
"2018 - 2019","Pulaski County Public Schools","Riverlawn Elementary",10654
"2018 - 2019","Pulaski County Public Schools","Snowville Elementary",12624
"2018 - 2019","Fauquier County Public Schools","Fauquier High",12293
"2018 - 2019","Fauquier County Public Schools","Liberty High",12211
"2018 - 2019","Fauquier County Public Schools","Kettle Run High",11474
"2018 - 2019","Fauquier County Public Schools","Cedar Lee Middle",12501
"2018 - 2019","Fauquier County Public Schools","Auburn Middle",12997
"2018 - 2019","Fauquier County Public Schools","Marshall Middle",14563
"2018 - 2019","Fauquier County Public Schools","Margaret M. Pierce Elementary",11527
"2018 - 2019","Fauquier County Public Schools","James G. Brumfield Elementary",12075
"2018 - 2019","Fauquier County Public Schools","Grace Miller Elementary",12503
"2018 - 2019","Fauquier County Public Schools","W.C. Taylor Middle",13165
"2018 - 2019","Fauquier County Public Schools","Warrenton Middle",14429
"2018 - 2019","Fauquier County Public Schools","Greenville Elementary",10801
"2018 - 2019","Fauquier County Public Schools","C. Hunter Ritchie Elementary",12207
"2018 - 2019","Fauquier County Public Schools","C.M. Bradley Elementary",13987
"2018 - 2019","Fauquier County Public Schools","Mary Walter Elementary",12633
"2018 - 2019","Fauquier County Public Schools","P.B. Smith Elementary",12752
"2018 - 2019","Fauquier County Public Schools","H.M. Pearson Elementary",12643
"2018 - 2019","Fauquier County Public Schools","W.G. Coleman Elementary",12885
"2018 - 2019","Fauquier County Public Schools","Claude Thompson Elementary",14822
"2018 - 2019","Craig County Public Schools","Craig County High",11398
"2018 - 2019","Craig County Public Schools","McCleary Elementary",10376
"2018 - 2019","Franklin City Public Schools","Franklin High",18326
"2018 - 2019","Franklin City Public Schools","S.P. Morton Elementary",8937
"2018 - 2019","Franklin City Public Schools","Joseph P. King Jr. Middle",14339
"2018 - 2019","King William County Public Schools","King William High",11284
"2018 - 2019","King William County Public Schools","Hamilton Holmes Middle",11012
"2018 - 2019","King William County Public Schools","Acquinton Elementary",11521
"2018 - 2019","King William County Public Schools","Cool Spring Primary",11253
"2018 - 2019","Northampton County Public Schools","Northampton High",12425
"2018 - 2019","Northampton County Public Schools","Kiptopeke Elementary",12655
"2018 - 2019","Northampton County Public Schools","Occohannock Elementary",12207
"2018 - 2019","Northampton County Public Schools","Northampton Middle",9035
"2018 - 2019","Staunton City Public Schools","Staunton High",11541
"2018 - 2019","Staunton City Public Schools","Shelburne Middle",11137
"2018 - 2019","Staunton City Public Schools","Thomas C. McSwain Elementary",10448
"2018 - 2019","Staunton City Public Schools","Arthur R. Ware Elementary",10592
"2018 - 2019","Staunton City Public Schools","Bessie Weller Elementary",11427
"2018 - 2019","Albemarle County Public Schools","Albemarle High",13452
"2018 - 2019","Albemarle County Public Schools","Western Albemarle High",15569
"2018 - 2019","Albemarle County Public Schools","Monticello High",13278
"2018 - 2019","Albemarle County Public Schools","Joseph T. Henley Middle",12830
"2018 - 2019","Albemarle County Public Schools","Woodbrook Elementary",18472
"2018 - 2019","Albemarle County Public Schools","Mountain View Elementary",13199
"2018 - 2019","Albemarle County Public Schools","Brownsville Elementary",10879
"2018 - 2019","Albemarle County Public Schools","Baker-Butler Elem",12285
"2018 - 2019","Albemarle County Public Schools","Mary Carr Greer Elementary",13611
"2018 - 2019","Albemarle County Public Schools","Jackson P. Burley Middle",13258
"2018 - 2019","Albemarle County Public Schools","Jack Jouett Middle",12427
"2018 - 2019","Albemarle County Public Schools","Lakeside Middle",13091
"2018 - 2019","Albemarle County Public Schools","Agnor-Hurt Elementary",13607
"2018 - 2019","Albemarle County Public Schools","Stone Robinson Elementary",12764
"2018 - 2019","Albemarle County Public Schools","Hollymead Elementary",12742
"2018 - 2019","Albemarle County Public Schools","Leslie H. Walton Middle",14529
"2018 - 2019","Albemarle County Public Schools","Meriwether Lewis Elementary",12029
"2018 - 2019","Albemarle County Public Schools","Crozet Elementary",12818
"2018 - 2019","Albemarle County Public Schools","Virginia L. Murray Elementary",13250
"2018 - 2019","Albemarle County Public Schools","Scottsville Elementary",14369
"2018 - 2019","Albemarle County Public Schools","Broadus Wood Elementary",12767
"2018 - 2019","Albemarle County Public Schools","Stony Point Elementary",13792
"2018 - 2019","Albemarle County Public Schools","Red Hill Elementary",15923
"2018 - 2019","Albemarle County Public Schools","Community Lab School",32171
"2018 - 2019","Giles County Public Schools","Giles High",10205
"2018 - 2019","Giles County Public Schools","Macy Mcclaugherty Elementary/Middle",9200
"2018 - 2019","Giles County Public Schools","Narrows Elementary/Middle ",9674
"2018 - 2019","Giles County Public Schools","Eastern Elementary/Middle ",9754
"2018 - 2019","Giles County Public Schools","Narrows High",10816
"2018 - 2019","Floyd County Public Schools","Floyd County High",10130
"2018 - 2019","Floyd County Public Schools","Floyd Elementary",10504
"2018 - 2019","Floyd County Public Schools","Check Elementary",10539
"2018 - 2019","Floyd County Public Schools","Willis Elementary",12205
"2018 - 2019","Floyd County Public Schools","Indian Valley Elementary",12933
"2018 - 2019","Campbell County Public Schools","Brookville High",8997
"2018 - 2019","Campbell County Public Schools","Rustburg High",9570
"2018 - 2019","Campbell County Public Schools","Altavista High",10302
"2018 - 2019","Campbell County Public Schools","Brookville Middle",8950
"2018 - 2019","Campbell County Public Schools","Rustburg Middle",9944
"2018 - 2019","Campbell County Public Schools","Leesville Road Elementary",8968
"2018 - 2019","Campbell County Public Schools","Tomahawk Elementary",8498
"2018 - 2019","Campbell County Public Schools","Yellow Branch Elementary",10463
"2018 - 2019","Campbell County Public Schools","William Campbell High",12222
"2018 - 2019","Campbell County Public Schools","Altavista Elementary",10086
"2018 - 2019","Campbell County Public Schools","Rustburg Elementary",9636
"2018 - 2019","Campbell County Public Schools","Concord Elementary",10436
"2018 - 2019","Campbell County Public Schools","Brookneal Elementary",10630
"2018 - 2019","Fluvanna County Public Schools","Fluvanna County High",10105
"2018 - 2019","Fluvanna County Public Schools","Fluvanna Middle",9514
"2018 - 2019","Fluvanna County Public Schools","Carysbrook Elementary",10776
"2018 - 2019","Fluvanna County Public Schools","Central Elementary",10453
"2018 - 2019","Fluvanna County Public Schools","West Central Primary",13267
"2018 - 2019","Powhatan County Public Schools","Powhatan High",10661
"2018 - 2019","Powhatan County Public Schools","Powhatan Middle",10286
"2018 - 2019","Powhatan County Public Schools","Pocahontas Elementary",10512
"2018 - 2019","Powhatan County Public Schools","Flat Rock Elementary",11529
"2018 - 2019","Powhatan County Public Schools","Powhatan Elementary",11471
"2018 - 2019","Caroline County Public Schools","Caroline High",10422
"2018 - 2019","Caroline County Public Schools","Caroline Middle",9569
"2018 - 2019","Caroline County Public Schools","Lewis and Clark Elementary",9680
"2018 - 2019","Caroline County Public Schools","Bowling Green Elementary",10626
"2018 - 2019","Caroline County Public Schools","Madison Elementary",10785
"2018 - 2019","Richmond County Public Schools","Richmond County Elementary",9838
"2018 - 2019","Richmond County Public Schools","Rappahannock High",10843
"2018 - 2019","Montgomery County Public Schools","Blacksburg High",10174
"2018 - 2019","Montgomery County Public Schools","Christiansburg High",10848
"2018 - 2019","Montgomery County Public Schools","Blacksburg Middle",9649
"2018 - 2019","Montgomery County Public Schools","Christiansburg Middle",9819
"2018 - 2019","Montgomery County Public Schools","Eastern Montgomery Elementary",12121
"2018 - 2019","Montgomery County Public Schools","Falling Branch Elementary",10520
"2018 - 2019","Montgomery County Public Schools","Auburn Elementary",9753
"2018 - 2019","Montgomery County Public Schools","Prices Fork Elementary",11240
"2018 - 2019","Montgomery County Public Schools","Christiansburg Primary",10122
"2018 - 2019","Montgomery County Public Schools","Auburn High",11585
"2018 - 2019","Montgomery County Public Schools","Margaret Beeks Elementary",10661
"2018 - 2019","Montgomery County Public Schools","Christiansburg Elementary",9867
"2018 - 2019","Montgomery County Public Schools","Kipps Elementary",10144
"2018 - 2019","Montgomery County Public Schools","Eastern Montgomery High",14759
"2018 - 2019","Montgomery County Public Schools","Gilbert Linkous Elementary",10197
"2018 - 2019","Montgomery County Public Schools","Harding Avenue Elementary",9646
"2018 - 2019","Montgomery County Public Schools","Auburn Middle",11788
"2018 - 2019","Montgomery County Public Schools","Shawsville Middle",13918
"2018 - 2019","Montgomery County Public Schools","Belview Elementary",12082
"2018 - 2019","Nelson County Public Schools","Nelson County High",14182
"2018 - 2019","Nelson County Public Schools","Tye River Elementary",13539
"2018 - 2019","Nelson County Public Schools","Nelson Middle",13619
"2018 - 2019","Nelson County Public Schools","Rockfish River Elementary",13790
"2018 - 2019","Greene County Public Schools","William Monroe High",10205
"2018 - 2019","Greene County Public Schools","William Monroe Middle",11112
"2018 - 2019","Greene County Public Schools","Ruckersville Elementary",10409
"2018 - 2019","Greene County Public Schools","Nathanael Greene Primary",12064
"2018 - 2019","Greene County Public Schools","Nathanael Greene Elementary",11659
"2018 - 2019","Hampton City Public Schools","Bethel High",10392
"2018 - 2019","Hampton City Public Schools","Kecoughtan High",10110
"2018 - 2019","Hampton City Public Schools","Hampton High",10844
"2018 - 2019","Hampton City Public Schools","George P. Phenix Elementary",9606
"2018 - 2019","Hampton City Public Schools","Hunter B. Andrews",10910
