"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Wythe County Public Schools","Sheffey Elementary",91,93,95,89,NA,NA,NA,NA,NA,NA,NA,NA,87,100,93,85,NA,NA,NA,NA,92,92,92,88,NA,NA,NA,NA,90,93,99,91,77,80,92,75,91,92,95,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Jackson Memorial Elementary",86,95,87,97,NA,NA,NA,NA,NA,NA,NA,NA,81,89,81,100,NA,NA,NA,NA,94,100,91,100,NA,NA,NA,NA,79,90,83,93,57,86,50,NA,85,95,86,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","George Wythe High",90,91,95,92,NA,NA,NA,NA,62,88,92,88,80,82,94,85,NA,NA,NA,NA,94,87,99,92,NA,NA,60,100,86,95,92,93,60,82,88,75,96,92,97,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Speedwell Elementary",80,100,92,100,NA,NA,NA,NA,NA,NA,NA,NA,72,100,91,100,NA,NA,NA,NA,81,NA,89,100,NA,NA,NA,NA,79,100,94,100,50,NA,88,NA,79,100,91,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Rural Retreat High",88,83,92,91,NA,NA,NA,NA,NA,NA,NA,NA,77,77,91,88,NA,NA,NA,NA,95,81,92,91,NA,NA,NA,NA,80,85,91,91,57,25,57,73,87,83,92,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Rural Retreat Elementary",90,97,97,97,NA,NA,NA,NA,100,NA,88,80,86,95,96,94,NA,NA,NA,NA,93,100,96,97,100,NA,100,NA,88,95,97,97,76,86,92,80,89,96,97,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Spiller Elementary",80,84,86,85,NA,NA,NA,NA,53,83,80,71,73,75,81,82,NA,NA,NA,NA,81,79,86,80,83,NA,83,NA,80,89,87,90,57,53,60,73,83,85,86,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Scott Memorial Middle",84,91,88,95,NA,NA,NA,NA,73,88,85,86,78,90,84,98,NA,NA,NA,NA,88,89,92,98,71,NA,83,NA,81,93,84,93,53,77,73,89,86,92,89,96,77,NA,55,73,NA,89,NA,69,53,78
"Wythe County Public Schools","Rural Retreat Middle",87,90,92,90,NA,NA,NA,NA,NA,NA,NA,NA,80,83,89,79,NA,NA,NA,NA,89,88,92,93,NA,NA,NA,NA,85,91,92,86,69,75,76,58,87,89,93,90,71,NA,NA,58,NA,84,NA,59,25,73
"Wythe County Public Schools","Fort Chiswell Middle",85,85,83,83,NA,NA,NA,NA,NA,NA,NA,NA,79,77,76,76,NA,NA,NA,NA,89,81,86,87,NA,NA,NA,NA,82,88,80,80,67,71,54,58,86,86,83,83,66,NA,NA,61,NA,71,NA,62,25,67
"Wythe County Public Schools","Max Meadows Elementary",79,95,93,96,NA,NA,NA,NA,NA,NA,NA,NA,70,96,89,92,NA,NA,NA,NA,86,100,98,94,NA,NA,NA,NA,74,92,89,100,42,80,68,NA,81,95,93,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","St. Paul Elementary",88,90,98,96,NA,NA,NA,NA,NA,NA,NA,NA,87,89,97,93,NA,NA,NA,NA,93,89,100,91,NA,NA,NA,NA,83,91,96,100,56,73,96,80,88,90,99,95,92,NA,NA,88,NA,100,NA,80,NA,92
"Wise County Public Schools","J.W. Adams Combined",92,93,95,96,NA,NA,NA,NA,NA,NA,NA,NA,90,87,94,96,NA,NA,NA,NA,92,93,95,95,NA,NA,NA,NA,92,91,95,96,74,80,88,83,92,92,95,96,82,NA,NA,74,NA,85,NA,80,44,80
